pca-1,pca-2,CIHigh,CILow,MOS
-177088.98264742052,11232.900392403219,3.324814232,2.847599561,3.086206897
-178537.71721144073,11070.300380615243,3.394160216,2.89155407,3.142857143
-133309.2218459344,-391.21379098383557,3.669138913,3.145675902,3.407407407
305227.3157785169,30128.48071194906,3.764962853,3.028140595,3.396551724
-177783.06979999703,11158.491260562752,2.653067263,2.154625045,2.403846154
-110981.1005496838,32011.896479448198,1.513780279,1.186219721,1.35
-111511.39139821604,-4217.33192855863,3.884859971,3.329425744,3.607142857
103837.30728488127,-4252.593833247929,4.592530589,4.157469411,4.375
209985.06856173152,-33395.45212893736,3.210241176,2.419388454,2.814814815
-87866.50211970847,21410.74765730576,3.165961789,2.619752497,2.892857143
507285.507179091,-14926.95738440453,3.044920759,2.339694626,2.692307692
240152.04350781906,-53137.786292836856,3.469450144,2.923406999,3.196428571
435792.4334267236,85548.54065771787,1.363997599,1.102669068,1.233333333
-8572.136847605541,-16777.30341543857,2.147725643,1.552274357,1.85
-88041.57726270013,7414.188617751018,3.94604759,3.313211669,3.62962963
246964.02876949636,-52399.61725118409,4.586922149,4.190855629,4.388888889
-210255.53414176792,-10573.705386213802,2.624756782,2.153020996,2.388888889
35595.50249867748,11943.183511005294,2.405101776,1.828231558,2.116666667
330019.0874088998,-2390.3210830347602,4.717505416,4.282494584,4.5
-63313.49573131716,-31773.935259828966,2.970983131,2.251239091,2.611111111
-132848.5250876097,-15660.2349057857,3.846189416,3.296667727,3.571428571
517257.1429616266,-13840.122740007897,4.659037443,4.269533986,4.464285714
-224695.90033519326,12602.15499422288,1.659640274,1.271394209,1.465517241
-109808.71505541122,44567.060068264465,1.642556938,1.324109728,1.483333333
593669.3936262785,38771.484232298695,2.156586714,1.73996501,1.948275862
-92459.22606301135,-34947.04835289046,2.728516741,2.054091954,2.391304348
-96471.00174229148,20285.016700988635,3.824198457,3.329647696,3.576923077
-184052.13990181405,19156.951573616672,3.28166657,2.785000097,3.033333333
444428.55588343396,-12702.360080300203,4.119839898,3.472752695,3.796296296
-190114.21770998198,696.2940500280531,3.444807906,3.003467956,3.224137931
127653.8428387956,-74467.57207966625,4.095679394,3.504320606,3.8
-125529.47621402456,-14861.666654884828,3.772468808,3.193048433,3.482758621
-4587.5884326275855,47064.65999952641,1.384178612,1.098580009,1.24137931
-208652.22729858197,-10399.324023760108,3.228121605,2.771878395,3.0
-26583.557794877408,-36651.06543421823,4.329362543,3.770637457,4.05
234048.4047354381,-62878.92683894077,4.392735837,3.814160715,4.103448276
