pca-1,pca-2,pca-3,pca-4,pca-5,CIHigh,CILow,MOS
-26576.707464700845,-36651.4509216058,-3828.9450625183163,439.16115583097354,-338.51753964349484,4.225768921,3.636300045,3.931034483
-155985.79360999214,-27251.663447120634,15728.837560404765,5074.202109515572,138.71971717694612,3.653463529,3.070674402,3.362068966
-155979.93954931025,-27251.677865099668,15730.910987405176,5074.57504912909,138.75146089483744,3.462234023,3.020524597,3.24137931
-191915.69020242433,27885.889161593816,-8528.711275312311,12819.668571447863,11036.56799441566,2.518109498,1.948557169,2.233333333
10855.216251975808,-32573.6709334834,-2311.673330918924,617.264188312585,58.22127817426842,4.371789143,3.869590168,4.120689655
-196930.49038238905,7262.109974575332,4406.180802818685,-2973.7771147003086,1557.8801195255298,3.107115012,2.596588692,2.851851852
-140977.37820977552,32090.968421830767,5377.403919443731,-26187.681426883017,8561.591152926207,1.552327478,1.206293212,1.379310345
11221.217982545984,-23418.306746472168,-19902.251126885847,-3326.530800993996,159.77083719243564,4.549695967,4.021732605,4.285714286
-177014.21774425736,11238.411006795239,-15221.578181771847,-2090.224960978136,1344.9592285204224,3.373239619,2.937105209,3.155172414
-154254.64509202196,25077.723181467838,20528.219157761152,10455.160721404985,-808.8603531032728,1.765816215,1.400850451,1.583333333
-96939.31772145306,20225.548858060993,-25415.291051915046,-7637.81817014956,24937.63968180306,3.809449298,3.362964496,3.586206897
-133621.51855550057,-15741.948813768557,-886.0939702986598,1253.6319354796717,472.5159351928182,3.574117983,3.046571672,3.310344828
-180571.34847091264,45568.32806151504,-21891.498100982666,-4222.671994411778,-13673.69487038937,1.592996662,1.240336671,1.416666667
-191340.0318144106,559.1394542236012,1805.0459619369137,1788.143238786758,1094.5804266482037,3.46412956,2.93587044,3.2
39461.2815559765,-2386.850800715887,-12023.367783601196,-14807.112479392974,1732.4989812934336,3.09915415,2.442512516,2.770833333
-186353.74250343916,17582.125847963485,-12842.859811632736,-6888.575992449875,1768.0394627315611,1.529546306,1.23712036,1.383333333
-88033.83864729258,7413.186502286838,-34170.77181432813,-6402.68141619538,1151.2144101682723,4.041123384,3.392209949,3.716666667
26676.551301628813,71718.91671086676,4229.979698130389,-4431.085218515059,81.87415521887107,1.56564417,1.167689163,1.366666667
-54213.74295760128,53834.44607606884,18474.847840286548,-889.0566471085511,-872.7520085996996,1.387269538,1.079397128,1.233333333
194960.65869782015,76837.82761683427,38291.31280587715,-67.05957369878364,-1055.8447228232633,1.543937516,1.222729151,1.383333333
-182389.0150235474,45316.29406605454,-22849.537328776576,4182.857420048136,11739.308752690948,1.868626477,1.476201109,1.672413793
-49001.25318178599,-48167.3897114583,12787.790589645303,4259.833315191705,-673.1571690427136,3.453428328,2.925882017,3.189655172
