pca-1,pca-2,pca-3,pca-4,pca-5,pca-6,pca-7,pca-8,pca-9,pca-10,pca-11,pca-12,pca-13,pca-14,CIHigh,CILow,MOS
-131948.6169909027,36620.90727116649,3822.089588954164,6616.675520624662,-474.70585918086687,-22873.59436313406,-3411.761659003841,-632.2004239997558,470.36621799903725,159.02514117789852,-39.984652268579424,43.217413045585346,-9.556869236488213,-43.247097201408764,1.74043084,1.328534677,1.534482759
-141838.94618100824,-2659.549255889113,9373.372055568996,-13444.59937896831,-16246.947087981292,-13151.170178825718,4536.232884230112,472.73327160443733,-126.40015484434655,4.39371489874235,-3.323400406982759,-1.2252766634345118,-8.157478343793354,1.0521267474481768,2.637035504,2.190550702,2.413793103
-63313.4957313171,-31773.935259828955,18946.931147272982,-7422.1391907554935,448.59675586755907,40924.31740470893,-3649.000264416626,-417.6062426412824,-358.19303781843126,-56.77990034300009,32.98943984980333,-27.04170846439937,-17.31392824941262,2.6404767601112273,2.970983131,2.251239091,2.611111111
-120360.21443036034,10134.504422074393,-15464.959965841643,22522.003356326095,-7584.076690910238,-2545.4479626831185,-3576.810506088664,394.27991698133195,16.634058775217003,22.819317005013747,12.07692053597555,-19.45236473375725,8.178205997836917,-5.849690202701433,3.531309226,3.020414912,3.275862069
-161907.1768225566,21920.515098350672,-32060.321462254356,-5929.498555177289,1602.2108530741227,-4067.512188209159,1090.9575456870473,-543.5168021585167,-200.02599864923963,16.436118130731256,-0.6175634234055031,6.239379474655781,8.187626458412852,-11.821647124966752,3.460340236,2.987935627,3.224137931
-127985.57156894438,-15127.138577142408,-656.6106217214497,1280.3294223987157,532.6657443545472,-1198.8855344214937,3154.1003211168745,-506.7110239315719,57.70408613510963,-15.721650148502121,-12.306497775917267,12.354717011843016,-9.331084736912183,-2.548443908156354,3.653463529,3.070674402,3.362068966
-133024.93531949102,-15677.979266955945,-864.3225552550396,1256.4352792444752,479.00732343470594,-1358.033724059738,2541.4249383452525,475.41304394902113,-148.61847898236422,5.705789095687581,-17.905473484258785,19.875446409886543,-3.647430820611382,4.335195795362974,3.454788469,2.978544864,3.216666667
-112286.88048184253,-10143.051270091439,28099.825686460106,40923.78622585454,22708.151623864644,-13738.455208474803,-13930.237848379691,223.13532450423864,703.6857017222071,-142.79002185996976,-67.54557592807247,-69.34944826414012,-33.058791308423146,-48.62354367493503,1.786571514,1.313428486,1.55
-92459.22606301129,-34947.04835289045,17766.17558644039,-7561.171859071233,139.37994520565118,40030.93432125675,-7124.0251557293,517.2724884839207,-198.06665200599346,-64.5050494505685,6.026780329026936,-13.440171534274317,-16.687511883267177,10.043765836147452,2.728516741,2.054091954,2.391304348
-162126.5982593338,-27921.841200337298,15479.956809282054,5045.30490830604,73.20762136648638,-240.60131910045982,6109.3536508586885,522.7156068744131,-180.75007203462508,1.9207608381855867,4.0351163114234625,19.612854483343053,-7.8743168176096345,4.631629875830394,3.380332715,2.964494871,3.172413793
