pca-1,pca-2,pca-3,CIHigh,CILow,MOS
-180571.34847091258,45568.328061515036,-21891.49810098271,1.592996662,1.240336671,1.416666667
-154254.64509202205,25077.72318146788,20528.219157761167,1.765816215,1.400850451,1.583333333
-49001.253181785934,-48167.38971145831,12787.790589645349,3.453428328,2.925882017,3.189655172
-208656.10983661868,-10399.087565069016,18626.08882136665,3.109396031,2.640603969,2.875
-109808.7150554113,44567.060068264494,-10893.211824471802,1.642556938,1.324109728,1.483333333
-87866.50211970841,21410.747657305743,-23566.794347725965,3.165961789,2.619752497,2.892857143
52139.936796535585,-9887.385123787479,-35769.5500141448,4.655644914,4.137458535,4.396551724
-77373.06945264214,-51259.12032247852,11640.217338242612,2.728559181,2.057155105,2.392857143
-4587.588432627696,47064.65999952641,-11133.250748088447,1.384178612,1.098580009,1.24137931
435792.43342672335,85548.54065771785,20471.538438489188,1.363997599,1.102669068,1.233333333
-172152.59757377693,37771.62475971997,-28242.299657277126,2.137035504,1.690550702,1.913793103
-161757.64749986137,21975.32130728681,-32128.942917747157,3.312221095,2.887778905,3.1
99227.65415197512,-4755.525827243199,-33862.49421533199,4.386792309,3.909503987,4.148148148
-126571.56289184783,21905.74177552908,1497.0751847916417,3.665622055,3.092998635,3.379310345
-156881.11424114945,-27348.84334294106,15694.266962925414,3.432505962,2.867494038,3.15
-163371.80213962455,21798.278434606244,-32194.503462540404,3.421011653,2.986395754,3.203703704
-156359.61151131237,-27291.713320726685,15718.158086639207,3.636244181,3.018928233,3.327586207
356237.2765391952,-8646.435842461957,22395.155366063234,2.486585659,1.977700056,2.232142857
389190.7228423984,48615.37878434168,-2411.5975295226463,3.95457961,3.30467965,3.62962963
-190114.21770998187,696.294050028041,1851.088420325401,3.444807906,3.003467956,3.224137931
-96471.00174229147,20285.016700988625,-25410.00676565098,3.824198457,3.329647696,3.576923077
-199394.1183856862,8425.603062348122,8112.180355939731,1.621677784,1.278322216,1.45
-181960.25102534876,-4327.707405872652,29675.37096695831,1.91045444,1.503338664,1.706896552
-226955.41816205528,13200.058313847929,27993.9824094831,1.945329132,1.488004202,1.716666667
246964.03748858155,-52400.00887065774,-3015.7410641499378,4.518530885,4.014802449,4.266666667
-132848.52508760965,-15660.234905785694,-854.9481043545935,3.846189416,3.296667727,3.571428571
632550.9162240344,39636.76978400922,-1546.2932680205547,4.756993215,4.311972302,4.534482759
517257.1429616266,-13840.12274000785,-9681.205460205938,4.659037443,4.269533986,4.464285714
55361.81448633424,-18609.8653352269,-18114.741054122198,4.442228583,3.928141788,4.185185185
-111511.39139821599,-4217.331928558648,-17600.554249793113,3.884859971,3.329425744,3.607142857
99947.85623601111,13076.836433398954,63898.766449086725,1.284138137,1.015861863,1.15
104026.95410753012,-45195.95266947899,29712.556585773134,3.576319397,2.84034727,3.208333333
-191340.03181441053,559.1394542236358,1805.0459619369283,3.46412956,2.93587044,3.2
209985.0685617315,-33395.45212893735,37321.94436706814,3.210241176,2.419388454,2.814814815
-102559.46708534392,-3239.4872116972974,-17240.127911683267,3.857237033,3.384142278,3.620689655
477412.65985679434,17033.314928325402,-5594.913974668161,2.686788331,2.05395241,2.37037037
-88033.83864729248,7413.1865022868315,-34170.77181432815,4.041123384,3.392209949,3.716666667
309437.3201853755,89263.16899558676,43007.21173215098,1.377270849,1.056062484,1.216666667
-51096.59293513656,-48395.26188262504,12707.192109727035,2.501572021,1.9811866,2.24137931
-13707.4970433807,58250.5517244738,20111.22617482269,1.467294188,1.153395467,1.310344828
-125345.11971585704,-14842.065660352771,-550.0972767849318,3.954853907,3.366574665,3.660714286
