fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,CIHigh,CILow,MOS
0.021567596471518753,0.01783939251130022,0.019143686330251472,0.011695822854614334,0.08020777694651167,-0.021789375607740604,0.0026306928548532373,-0.0170357362505293,-0.03072678999095159,0.02577734087764386,0.010661430161329711,0.32821269537728553,0.037740070567097515,-0.023600424050062626,0.05345889155729533,-0.019012706782095674,-0.03800986739853458,-0.043629808797513076,-0.01555171100471168,-0.003939326559341905,0.04181504452987193,-0.0801308589555186,-0.020706174762525148,-0.04880336254261957,0.0176948453290707,-0.045240153778116896,-0.016459292134794017,-0.013796242759685001,0.0051354397476499666,0.013689417944257667,0.016368641099489083,0.07963991760473595,2.970983131,2.251239091,2.611111111
-0.02129323019568123,0.03439207279959044,-0.000980466124785272,0.05399264477875338,0.032286645655406565,-0.06232330406829306,-0.04463201500654018,0.018159452977324787,0.004143662494646524,0.07499685880142734,-0.01476403444953822,-0.08108889414931517,0.038464109690027,-0.021310142606162572,-0.0066781679875112954,0.07114805430648494,0.03969100640214651,-0.0021237381264966547,-0.05686636456884813,0.023375991819264,0.06813374612332966,-0.05727619351213941,0.002162309926098918,0.2697568206247367,-0.18883681225658444,-0.011601997215578235,0.014375600944288115,-0.02147497945366012,0.04397071947890866,-0.0282234394437662,-0.06384312010984598,0.22863159082036075,2.686788331,2.05395241,2.37037037
-0.011345835594367956,0.022846916166489307,0.006556010818062467,-0.0013598915473218003,0.06313205900306483,0.00628176693244656,0.0226679416351769,0.006087069794547762,0.017760483340568307,0.02455029966194329,0.013353213195214245,-0.027577822004875473,-1.2960259513372381e-05,-0.009109993413470968,-0.02152860914301429,-0.023264200863467737,-0.03469768713599284,0.0018260983811477117,0.013711594195051963,-0.000914116660785985,0.02166443922335505,-0.04242870771213033,0.018535198702790804,-0.038454173353512706,-0.2539624691895908,-0.0038362117941425377,-0.029485704025012043,0.013658738912172865,-0.000260484925753011,-0.015349829429360765,-0.006678676251006429,-0.02066265820277419,3.044920759,2.339694626,2.692307692
-0.07188640049124458,0.0037938460290722013,0.055638568022617095,-0.0025463413682154405,-0.03785059632206697,0.1075445167076848,0.011270348590161192,-0.042218227928121035,0.0355334676027392,0.04003201768743577,0.14879635933809648,-0.002776266264571184,-0.03910887013493513,-0.08032710912681719,-0.02770934447103941,-0.09882004471842101,-0.062239653681753854,-0.03022400351215492,0.11629071659766818,0.033852056332648386,-0.051656667177510586,0.10059510477150144,0.07742091953778858,0.6128266141542345,-0.006505874128597477,-0.013806855515901875,-0.0618097502153922,-0.0068791435253886535,-0.053379314566165424,0.031548407916732864,0.1473944694701728,-0.1062745095876176,3.95457961,3.30467965,3.62962963
0.010332442368020833,-0.06349672788270622,0.024261149460108218,0.02400299068888354,-0.04562780113813049,-0.19511967441785447,-0.009803103539058113,0.07243084373965801,0.031528918633301435,0.05707050649536516,0.10951001951403826,0.010677130319016398,-0.043478578797046974,0.008604401699695867,0.10214364881803364,0.054494244504416936,-0.04861867455239911,0.16243455399081444,-0.06542423132970192,0.00846845425091222,0.09435003561364486,-0.0861088329553538,0.045608118390276,-0.029456051180418562,0.008439674971915449,0.0041677201500328305,-0.19414404603011381,0.005597291163583743,-0.010044234311785333,0.03155694247346546,0.022156451792831208,-0.03591050888072996,2.576073139,2.123926861,2.35
0.010707579632683137,0.05009656271287393,0.02467672726120674,0.051989790375314295,0.07988155664963585,-0.020804164205590725,-0.028718575557096462,-0.027476820319467816,-0.05583985384619905,0.05648716981971713,0.008300814619179243,0.2944666433445973,0.011692694780224146,-0.04156934756470213,-0.04450006499667001,-0.05678744814778872,-0.024715631201392967,-0.033286160923603536,0.013482292526983118,-0.009281833008472245,0.05242756291818782,0.1032058234138873,0.01683382852555189,-0.0487499210728778,0.02827371625244732,-0.04719746899670296,-0.04019115091715809,-0.00118817373409451,-0.038566373646260664,0.022531441725007515,0.005824539068990175,0.060624675580419486,2.728516741,2.054091954,2.391304348
0.01316144502527081,-0.013971587087783972,0.03130808945080731,-0.041890411108611414,0.12112156766481837,0.019465472132804498,0.020824996196189972,-0.000962821130197399,-0.011328621091754037,-0.03532054269714932,0.06907190070605093,-0.019937356039049316,0.0040226622287088155,-0.02860985299814993,0.0396440882602344,-0.05858303233372898,-0.08214855665806427,0.010527470007235248,-0.014345002942133997,0.024558932967467917,-0.031256748359819966,-0.09792449339274263,-0.026136328560979458,-0.03604785812880126,0.03617431276022821,-0.029775952874371518,-0.0526551188188573,0.02394474483506137,0.06783455490368213,-0.011474939207599195,-0.029673363382408936,0.0422033179741677,4.23399043,3.535240339,3.884615385
-0.01459749481867869,0.055108204855469405,0.013758117770531052,-0.03005420856953381,-0.020362020135661973,-0.0012311562794837447,0.0024921359259395467,0.013422810921958395,-0.009088870363393333,-0.034102328710230445,-0.03782094821780123,-0.015969119498591363,-0.021308982118645497,-0.015125038804561175,-0.01858097179311736,-0.00031073731589127224,-0.03585708703544447,-0.011545053116940141,-0.0033835452598565408,-0.01385280066251504,0.12588862318488753,0.07705167399786296,0.008834552176165305,-0.018465904462676746,0.03423372314816418,-0.007246526699689547,-0.014753919276430995,-0.005241188561486081,-0.015170254899403983,0.009535234045141817,-0.02857260340261335,0.020215214686067105,2.558665314,1.941334686,2.25
-0.03932636352053856,-0.1589981674443684,0.012628262829336157,0.07202593786396161,-0.07078911730794353,0.01755369623620274,0.04821438372876543,0.00814221407054818,0.0505330365229011,-0.025652086988311718,-0.030830551549812346,0.13209731171212516,0.06460085906302139,0.04712259822503187,-0.018178057919049834,-0.04118364067265637,-0.07276461088084626,-0.02000663831208572,-0.006380292193310824,-0.2586686345622888,-0.10992277085320057,-0.05964170605587874,-0.0022916751248527067,0.037277872733199525,0.04025472207318027,-0.011909372381036978,0.0734404480642884,-0.03328718200248239,-0.017515718858199355,0.016647194443165658,0.036116534753899934,-0.029735681741501593,2.137035504,1.690550702,1.913793103
-0.06177962328660619,-0.08217524570912628,-0.13109179230050877,-0.15169823095690346,0.009077895784347612,0.02565282323920898,-0.18772720519962557,-0.0567917660246903,0.01601665521689171,-0.0017009107583468904,0.023280192877154597,-0.17547690230399812,0.018542689648490398,-0.04455107382880236,-0.009900319915634104,-0.512795018931976,0.003184721391383468,-0.047152331800958736,0.08543818622677812,0.012656095733397155,-0.04945959760848676,-0.014368524420283265,0.036043586954790846,-0.007052144889852018,0.019243528576526992,0.038447900561652606,-0.08456938757241471,0.17767337799280353,-0.08675974235688043,-0.0074151314402584965,0.1092387553050914,0.040516022893924634,2.303374142,1.770699932,2.037037037
