fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,CIHigh,CILow,MOS
209985.06856173146,33395.45212893732,-37321.94436706812,29971.37367067525,39052.227449629456,21706.65302698175,-2175.608049607717,3.210241176,2.419388454,2.814814815
232965.8757405063,62995.37501995426,-13937.367352880128,-3801.292839920894,616.2979909428042,-5462.143193898282,2116.375569294031,4.400800178,3.806096374,4.103448276
-190899.24390901666,-610.2798563104908,-1825.222990436511,-1789.743515497572,-1099.5449269984917,938.6065054823945,-11692.763481913995,3.257015236,2.742984764,3.0
104026.9541075302,45195.95266947892,-29712.556585773113,-445.47236054787584,-53158.88612357929,18008.00613654047,20423.068888394868,3.576319397,2.84034727,3.208333333
-208889.81068729356,10423.582690034757,-18617.653682087763,-5631.350897984872,-811.4602819871806,-517.5143993555608,-16578.64410829967,3.24043084,2.828534677,3.034482759
-161907.17682255636,-21920.5150983507,32060.321462254265,5929.498555177321,-1602.2108530741361,4067.5121882091557,-1090.9575456870566,3.460340236,2.987935627,3.224137931
11216.352421594487,23418.28607615334,19904.38354733591,3326.8899592742746,-159.75319865718055,1621.3306183993689,10462.343616711456,4.364099225,3.778757918,4.071428571
-192550.92346794257,-23579.674079202654,-40949.44837221026,-6588.300698339241,487.98546442783055,-6038.490379119934,-4384.146681623333,1.770033908,1.363299425,1.566666667
-26717.798145921126,36667.71102989089,3831.785987852418,-438.99882701376384,340.07491335967876,763.3845797258348,7908.284908053043,4.373132173,3.780713981,4.076923077
10855.216251975813,32573.670933483398,2311.673330918926,-617.2641883125833,-58.22127817427551,-387.5326440788392,3436.9545351888873,4.371789143,3.869590168,4.120689655
97204.7485108946,4979.347650116585,33942.18420779371,6844.768339546279,-1163.1774161852195,995.1747963934747,7270.813269589347,3.002162168,2.354980689,2.678571429
-77373.0694526421,51259.12032247858,-11640.217338242566,-4125.327942557424,974.0574356794283,303.7065781381574,6896.116761209533,2.728559181,2.057155105,2.392857143
634664.4833016021,-8022.255790935805,22450.535901180618,6087.79026184561,-3929.7544717277265,-11695.9642441093,-24425.389754910513,2.694792401,1.945207599,2.32
-77647.13002551923,-8549.655974165584,33757.39842326612,6355.234525823651,-1261.7264214191136,3685.265017306053,4948.850848653803,3.923636291,3.335622968,3.62962963
-190387.4595414203,-665.1960614797218,-1843.7495985845105,-1792.1233377802828,-1105.1113494012113,923.7206345793487,-11754.647097312229,3.249159055,2.784174278,3.016666667
-26583.557794877397,36651.06543421827,3830.566155433919,-438.7254040794561,338.62511018582796,759.8184225003997,7893.891358899566,4.329362543,3.770637457,4.05
-163371.8021396242,-21798.278434606385,32194.503462540277,5952.868097631035,-1586.6057813299851,4125.138040600293,-871.0962610537775,3.421011653,2.986395754,3.203703704
-196930.49038238887,-7262.109974575298,-4406.180802818728,2973.7771147002913,-1557.880119525455,-15573.846834169002,-11654.291105016278,3.107115012,2.596588692,2.851851852
-196314.94908131615,-9595.508776278672,-3161.7653853105076,-17493.760749667243,4146.381794016224,833.4866999158044,-10676.259158492738,3.319639376,2.7838089,3.051724138
194960.65869782024,-76837.82761683458,-38291.312805877285,67.05957369875968,1055.8447228232737,-15781.142624203485,15690.021481197955,1.543937516,1.222729151,1.383333333
-14347.637429979079,-13297.012857945736,-2132.1441083389727,37660.141532212314,24478.089149886287,-20627.028754354364,7234.001214949854,3.907056989,3.437770597,3.672413793
-78041.96969912775,-8500.94372785049,33760.376838680146,6354.432048004103,-1257.388495706026,3695.594322229978,4991.557092448897,3.991799552,3.401057591,3.696428571
26676.55130162887,-71718.91671086682,-4229.979698130441,4431.085218515043,-81.8741552188746,-7518.307150781864,12531.62056400861,1.56564417,1.167689163,1.366666667
-199001.39537297367,-7083.478348273239,-4253.352899395666,3001.6457299086196,-1536.1411062193988,-15509.460153442364,-11386.997057472092,1.362669765,1.137330235,1.25
-213707.64668739538,2212.9749811136144,-25044.849854822132,3553.0286881065385,9634.634542500866,6831.152886313851,-17898.34063133076,2.576073139,2.123926861,2.35
-51096.59293513656,48395.26188262512,-12707.192109726977,-4250.245137720112,695.5568690291965,-503.46972672589203,3765.116563450551,2.501572021,1.9811866,2.24137931
517257.14296162635,13840.122740007626,9681.205460205956,2719.0481330731673,-2589.1847523654037,-10118.118649799591,-17523.082547032103,4.659037443,4.269533986,4.464285714
11221.21798254598,23418.30674647216,19902.25112688585,3326.5308009939963,-159.7708371924605,1620.8336501851027,10461.462036047242,4.549695967,4.021732605,4.285714286
176344.48446837603,1831.1631625812258,-41623.89831047304,-27684.4681216924,58461.086547879575,21728.640333682393,2952.3000312618883,1.965763382,1.498522332,1.732142857
-191915.690202424,-27885.889161593932,8528.711275312216,-12819.668571447872,-11036.567994415565,8036.713640642454,-3312.8013466276957,2.518109498,1.948557169,2.233333333
-48589.140470190374,48122.91316287431,-12805.278004868305,-4261.973145524442,668.7992030795361,-578.9998940271234,3466.478848527383,3.799760206,3.165757036,3.482758621
-49001.253181785985,48167.38971145836,-12787.790589645287,-4259.833315191698,673.1571690427376,-566.3248469990531,3515.6614387258155,3.453428328,2.925882017,3.189655172
-163813.62765336715,-21749.166463269685,32209.156319098856,5954.3801859084015,-1581.8663141067095,4138.081483599818,-819.2645207411391,3.551922047,3.103250367,3.327586207
-96939.3177214531,-20225.548858060876,25415.291051915072,7637.818170149498,-24937.639681803063,12734.038978059676,8601.38142546451,3.809449298,3.362964496,3.586206897
-4587.5884326275955,-47064.6599995264,11133.2507480884,2744.8423203421553,37080.50173401983,-19604.606893620286,14047.28094094202,1.384178612,1.098580009,1.24137931
99227.6541519751,4755.52582724313,33862.49421533198,6835.916160387927,-1189.545698625204,935.8738712853474,7030.301689268224,4.386792309,3.909503987,4.148148148
-166880.55042359006,-30994.275163915132,30775.68262241422,-9759.988005768864,3638.3243674529535,3951.8807625740296,-112.26104296438788,3.523768328,2.976231672,3.25
36943.090354561486,-3017.0100441512104,15034.833737702265,-35594.79390084363,12361.328100781308,153.87096373433153,8241.562767209776,2.646890722,2.056812981,2.351851852
-96471.0017422915,-20285.016700988548,25410.00676565096,7633.307763182544,-24941.318047788453,12721.709091305805,8548.169920031147,3.824198457,3.329647696,3.576923077
-182389.01502354722,-45316.29406605446,22849.537328776547,-4182.857420048174,-11739.308752690822,-6948.161866915103,2120.738012132982,1.868626477,1.476201109,1.672413793
240152.04350781915,53137.786292836594,3295.7383288434085,92.14336902633649,443.1035543547051,-3671.634099582653,8301.20719000418,3.469450144,2.923406999,3.196428571
-131948.61699090258,-36620.90727116634,-3822.0895889541457,-6616.675520624602,474.7058591809293,22873.594363134103,3411.7616590038383,1.74043084,1.328534677,1.534482759
-190106.4398123922,-695.2418077846825,-1854.476688790647,-1793.5134807800168,-1108.1538674181727,915.4386237070535,-11788.662119720577,3.448905722,2.930404623,3.189655172
-186353.74250343905,-17582.125847963416,12842.859811632707,6888.575992449867,-1768.0394627315134,-13880.584254546107,-5831.029140736793,1.529546306,1.23712036,1.383333333
-56563.32933247319,-26534.50973306762,-29185.676392476813,-14663.104679990396,2252.0243166522478,31809.277535131292,9714.00374710277,1.400678788,1.15104535,1.275862069
246964.02876949645,52399.61725118377,3015.3419901195907,58.39018601429769,370.92783995017055,-3879.7161249586666,7490.172924953045,4.586922149,4.190855629,4.388888889
309437.32018537517,-89263.16899558663,-43007.21173215094,-496.2868214252411,-156.34319356174413,-19288.127176015558,2063.133315175454,1.377270849,1.056062484,1.216666667
435792.4334267241,-85548.54065771855,-20471.53843848951,-14374.157935838213,280.20583106711206,39364.37307034314,-3719.290947512139,1.363997599,1.102669068,1.233333333
55361.81448633422,18609.865335226856,18114.74105412219,3116.6409263816604,-627.5918344014921,269.33228895957694,5210.636978189116,4.442228583,3.928141788,4.185185185
-172152.59757377676,-37771.624759720085,28242.299657276988,-4981.912067223275,3171.121740120587,-12579.30357730947,-147.06855135240912,2.137035504,1.690550702,1.913793103
347922.23145223473,32285.95898476424,16536.086150065417,3524.266423915815,-796.0985257862843,-4945.407346562386,2571.0582169445493,4.785550297,4.325560814,4.555555556
-42560.93726866818,17115.224246642098,-9567.332444191357,1471.200548772409,-36337.38242754149,14297.313313972356,11842.38321262976,2.55951845,1.976195836,2.267857143
386217.68630594556,37229.051606064706,-2618.1994183550573,-603.0517451837039,-1103.7924264184805,-8133.750324522765,-9036.468176121363,2.692561138,1.950296004,2.321428571
-209627.37297721833,10505.760635605478,-18585.645417006002,-5628.0757472611,-803.2589349861828,-490.05825688506,-16475.683550323196,3.060916712,2.639083288,2.85
-133309.22184593452,391.21379098407743,-1612.3835811255296,-26405.457462715967,7818.6737123920375,922.0083414465751,-1956.0858293161905,3.669138913,3.145675902,3.407407407
99683.43760109118,42300.42372682108,-14245.533031397634,-60981.89587161508,21091.367795958104,-2400.064229557611,19193.186418991274,2.241733096,1.758266904,2.0
-101098.8721397921,-6926.486666838947,-47846.555276967345,32033.438752514823,-11236.313187071182,-8964.16138994818,5658.71200956688,1.424230754,1.075769246,1.25
-181960.25102534855,4327.707405872786,-29675.37096695828,17322.89758345566,15928.722161634923,-14362.218187427497,-7875.086381472108,1.91045444,1.503338664,1.706896552
-53392.24618411108,18012.320848377112,-11421.450224731823,22287.368028364483,26262.63950832898,19340.51601407582,6372.142721579482,1.868626477,1.476201109,1.672413793
-208652.22729858186,10399.324023760071,-18628.07884687433,-5632.927004532624,-814.048231118647,-524.5472941780989,-16608.402152867668,3.228121605,2.771878395,3.0
-180571.3484709124,-45568.32806151498,21891.498100982662,4222.671994411823,13673.694870389369,-5131.278872554604,-839.6712968923435,1.592996662,1.240336671,1.416666667
-76506.38212192187,51165.01145266307,-11674.953404730362,-4129.478498068225,964.8481689372778,277.417553064544,6792.992139838102,3.849214939,3.150785061,3.5
-77623.80415645489,-8546.810450909825,33746.927902970834,6352.889327075425,-1261.946029949669,3683.5859688268115,4941.795449210718,4.24461591,3.686418572,3.965517241
52139.93679653554,9887.385123787444,35769.55001414477,7059.31689838796,-690.720276320819,2377.9619874102104,12627.96680117029,4.655644914,4.137458535,4.396551724
102995.09709901219,4346.599785654512,33710.42896957834,6817.721536321493,-1229.5585895463716,821.3302906862817,6582.007430679913,3.658971212,3.055314503,3.357142857
-88033.83864729258,-7413.186502286752,34170.77181432814,6402.681416195385,-1151.2144101682927,4005.8103909021415,6193.797922582733,4.041123384,3.392209949,3.716666667
-133621.51855550046,15741.94881376867,886.0939702986938,-1253.631935479667,-472.51593519280186,1375.4164908714524,-2469.263725596735,3.574117983,3.046571672,3.310344828
-162708.44575793864,27985.137869965227,-15460.28610180657,-5042.935985792677,-66.87064208755369,257.4068548981807,-6039.703594694565,2.558665314,1.941334686,2.25
-87866.50211970849,-21410.74765730573,23566.794347725907,21060.931847098873,15479.219672352883,15519.970187952773,3117.613864607271,3.165961789,2.619752497,2.892857143
-132848.52508760957,15660.234905785772,854.9481043546165,-1257.8418659107924,-480.8777153143261,1352.4826710633508,-2563.562725139737,3.846189416,3.296667727,3.571428571
-226955.41816205514,-13200.058313847703,-27993.982409483044,-15770.414877283523,-10973.793713671213,-11614.647494110388,-13680.87049358755,1.945329132,1.488004202,1.716666667
-208656.10983661862,10399.08756506903,-18626.088821366684,-5632.565155429726,-814.0445660095074,-524.1586296294676,-16607.519646497265,3.109396031,2.640603969,2.875
-154254.64509202196,-25077.723181467645,-20528.219157761087,-10455.160721404927,808.8603531032742,21532.980623120082,-995.9787941442133,1.765816215,1.400850451,1.583333333
43566.18165511427,-3740.3625775696055,14774.153173958774,-35625.0404319883,12291.008255227438,-46.98797273316849,7457.2014369531535,4.625796982,4.159917303,4.392857143
-190114.21770998187,-696.2940500280503,-1851.0884203254489,-1792.7224307363022,-1108.0768412818209,915.9344445932018,-11786.191331967415,3.444807906,3.003467956,3.224137931
-178608.71097964686,-11062.663455784812,15284.681606688417,2097.1358900194264,-1327.5456114844874,2583.9536932964565,-6084.3850321595,3.430356437,3.002976896,3.216666667
9555.796908238694,23600.724802687393,19966.81886802307,3333.9196351856917,-142.07985765948925,1671.2436655713846,10658.285895662595,3.431346944,2.747224484,3.089285714
-177014.21774425698,-11238.411006795293,15221.578181771758,2090.2249609781447,-1344.9592285203942,2531.1495112673683,-6289.241279489788,3.373239619,2.937105209,3.155172414
-161757.6474998612,-21975.32130728685,32128.942917747067,5945.490945369089,-1604.222556810804,4071.5312182259886,-1078.938130296939,3.312221095,2.887778905,3.1
632550.916224035,-39636.76978400998,1546.2932680202978,8841.071951272072,-59048.29020220591,7900.235408919898,-21173.810137798453,4.756993215,4.311972302,4.534482759
-110981.10054968388,-32011.89647944809,28211.923480805428,-11028.350826457021,6547.449936488373,-22466.14505131778,8402.593631115416,1.513780279,1.186219721,1.35
