fe-1,fe-2,CIHigh,CILow,MOS
-209627.37297721833,10505.760635605478,3.060916712,2.639083288,2.85
-133309.22184593452,391.21379098407743,3.669138913,3.145675902,3.407407407
99683.43760109118,42300.42372682108,2.241733096,1.758266904,2.0
-101098.8721397921,-6926.486666838947,1.424230754,1.075769246,1.25
-181960.25102534855,4327.707405872786,1.91045444,1.503338664,1.706896552
-53392.24618411108,18012.320848377112,1.868626477,1.476201109,1.672413793
-208652.22729858186,10399.324023760071,3.228121605,2.771878395,3.0
-180571.3484709124,-45568.32806151498,1.592996662,1.240336671,1.416666667
-76506.38212192187,51165.01145266307,3.849214939,3.150785061,3.5
-77623.80415645489,-8546.810450909825,4.24461591,3.686418572,3.965517241
52139.93679653554,9887.385123787444,4.655644914,4.137458535,4.396551724
102995.09709901219,4346.599785654512,3.658971212,3.055314503,3.357142857
-88033.83864729258,-7413.186502286752,4.041123384,3.392209949,3.716666667
-133621.51855550046,15741.94881376867,3.574117983,3.046571672,3.310344828
-162708.44575793864,27985.137869965227,2.558665314,1.941334686,2.25
-87866.50211970849,-21410.74765730573,3.165961789,2.619752497,2.892857143
-132848.52508760957,15660.234905785772,3.846189416,3.296667727,3.571428571
-226955.41816205514,-13200.058313847703,1.945329132,1.488004202,1.716666667
-208656.10983661862,10399.08756506903,3.109396031,2.640603969,2.875
-154254.64509202196,-25077.723181467645,1.765816215,1.400850451,1.583333333
43566.18165511427,-3740.3625775696055,4.625796982,4.159917303,4.392857143
-190114.21770998187,-696.2940500280503,3.444807906,3.003467956,3.224137931
-178608.71097964686,-11062.663455784812,3.430356437,3.002976896,3.216666667
9555.796908238694,23600.724802687393,3.431346944,2.747224484,3.089285714
-177014.21774425698,-11238.411006795293,3.373239619,2.937105209,3.155172414
-161757.6474998612,-21975.32130728685,3.312221095,2.887778905,3.1
632550.916224035,-39636.76978400998,4.756993215,4.311972302,4.534482759
-110981.10054968388,-32011.89647944809,1.513780279,1.186219721,1.35
