fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
103837.30728488127,-4252.593833247919,-33681.6057433912,-6814.793960919504,1238.5424890811516,-796.332198161921,-6483.766524191377,-602.6593314206973,-22.01023017592619,-47.459111668257734,4.592530589,4.157469411,4.375
305227.31577851693,30128.480711949036,8409.690202032902,51344.89811167684,36427.10278389934,-14881.99517131315,-11829.070419245689,360.10875309999454,-493.4732468818316,-25.665658197182253,3.764962853,3.028140595,3.396551724
-56563.32933247321,26534.509733067654,29185.676392476802,14663.104679990483,-2252.0243166520854,-31809.277535131238,-9714.003747102768,-747.8210618165522,308.4371313262432,-48.8002160258809,1.400678788,1.15104535,1.275862069
185503.7219477987,66690.7337763528,55513.50537891803,3833.911673657408,-1253.4162644200305,17511.58352215823,-9740.315514383637,-411.29255613590897,-248.72464944596948,-50.76560280513819,1.26447695,1.068856384,1.166666667
-48589.140470190396,-48122.91316287425,12805.278004868329,4261.973145524464,-668.7992030794604,578.9998940271328,-3466.478848527386,-610.4194372244133,-43.99335344397547,-46.7647802787902,3.799760206,3.165757036,3.482758621
-102740.13104542745,-3260.8968369153813,-17240.388383105084,-2545.4157845415657,898.1551503639679,-2443.7711388592097,-903.6443111182142,-564.9472035595196,32.15753836970216,-5.411819291457752,3.720526178,3.246140488,3.483333333
-88041.57726270016,7414.188617751015,-34175.46558775512,-6403.6003223742955,1151.1998484856913,-4006.630758979575,-6196.011654332354,347.72285414512777,-152.8734000640806,21.79875798351122,3.94604759,3.313211669,3.62962963
234048.4047354382,-62878.92683894077,13983.423873551306,3807.0111722439874,-604.8325400255382,5495.357314085508,-1986.8032729219153,-506.8149262052279,128.04540715323677,75.83231659771997,4.392735837,3.814160715,4.103448276
-177783.06979999712,11158.49126056279,-15258.612051585445,-2095.377775984664,1336.7929990081468,-2555.110322480631,6194.898005426783,-464.2606796550799,-163.3947493148753,2.9243436147641035,2.653067263,2.154625045,2.403846154
55361.814486334224,-18609.86533522685,-18114.741054122187,-3116.640926381667,627.5918344014366,-269.3322889595839,-5210.636978189122,-599.9470632967057,-29.36952882987664,-47.762974693488395,4.442228583,3.928141788,4.185185185
-26717.79814592115,-36667.71102989083,-3831.78598785241,438.9988270137813,-340.0749133596767,-763.3845797258278,-7908.284908053049,324.39646950260516,-13.540115094167609,-42.25975710595521,4.373132173,3.780713981,4.076923077
-133309.22184593443,-391.2137909838431,1612.3835811256165,26405.457462716102,-7818.673712391611,-922.0083414465097,1956.0858293162037,-521.67059306705,-117.73281958062705,28.935441957814422,3.669138913,3.145675902,3.407407407
-186353.74250343913,17582.125847963434,-12842.859811632761,-6888.575992449904,1768.0394627314781,13880.584254546082,5831.029140736797,-365.3723178354502,804.2978435906685,-124.97501247963996,1.529546306,1.23712036,1.383333333
11216.352421594507,-23418.286076153327,-19904.383547335918,-3326.889959274268,159.75319865712692,-1621.3306183993684,-10462.343616711465,295.4767198465768,-51.22027235533027,-36.9604764791723,4.364099225,3.778757918,4.071428571
