fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,CIHigh,CILow,MOS
50030.00805463147,-10113.997947689417,-35856.497589709215,-7070.235058568794,-668.2179192098855,2441.9449831014686,12881.309331455328,-274.72895612136324,139.77415771176393,-50.99456043081083,18.223683355015982,-0.644947280152939,13.212484442619383,-7.152106686230744,-4.6225963391627,3.343655780159267,4.01088976733331,-0.9177599242938542,0.5021269781555898,4.386049357679334,3.7249543321934717,-1.186471356342565,-0.13967683502611958,-5.986586548739964,1.3726892103334454,-2.131461573549513,-3.2525566999547877,3.0405880214551133,-2.491082642087284,1.3759660133850515,-0.0015345668959810199,-2.527685552616282,3.447746457762196,8.023850400252499,0.09615425481569626,1.9428983927761896,5.0931336823093645,4.184754245870604,-4.116637214770535,-3.007665575206159,-0.8296489785343117,3.599130983,2.900869017,3.25
-125345.1197158572,-14842.065660352831,-550.0972767851935,1293.4060038201774,-560.8143237253968,1119.014644420445,-3469.9147711157357,505.62609281913603,-147.99195626671923,3.5927483161998115,-8.184548899552574,6.667883703743539,-3.8273242018874916,3.3633932747673705,-4.182653699929053,-6.369863816446737,1.4030069486229777,-0.43980538516262824,0.004608831825902488,0.987175069326663,-0.9144742735406525,6.7394914192767015,1.700357080401233,0.6570473585304671,-3.038032881731276,0.7548355436152367,0.041673718006697995,-0.7121114104647771,0.3909147575745906,-0.6664519802557275,1.9439360917069892,-1.1296768662880565,0.28071070770656775,-1.7256635276485253,0.9617909051504389,-0.7472609853278058,0.8374213424777464,-0.8842802082768955,1.38220450117936,-0.656807827696937,-1.162808096528481,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.389711457705,12787.790589645305,4259.8333151927245,673.1571690430162,-566.3248469977714,3515.6614387281998,611.432476446663,-44.63990682926486,-46.941621851489955,9.787047710110562,6.176204630686752,-6.933410809348805,-11.012630635388886,8.03194212857659,-6.734829206014297,-3.3424083632635737,-1.1539448619082127,-5.149720946543676,-0.7903692385018506,-5.794291082614002,0.6074057121019087,-1.2292181665817121,5.609900889263685,1.199216130923689,-5.076926666684557,3.079454091448605,-0.8200642065781071,-0.37034577325450296,-0.6375756809377727,4.474410427556795,0.4972050419401292,-3.265251920918434,-1.1808718406642693,-0.9122439621830382,0.8439351771979317,-1.7751874577135232,1.113381788098746,-1.2238315484948015,-1.8853398787353561,-0.5727428348026696,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764602,-16536.086150066225,-3524.2664239158107,-796.0985257861464,-4945.407346563558,2571.058216945055,-525.2452499738798,117.82768750687227,73.28616823508564,-6.671407010906385,5.796977977315886,-3.1326572983251166,-1.8873834255071922,-8.871732161493583,-0.04093926950341783,-1.2227543417523743,-5.073751590273702,0.19236307715613904,2.7103565498381514,2.680530891201016,-0.04959984881765324,0.6440132942992745,1.275452528557809,0.4596947485858398,-0.322273336976386,2.796973690207514,1.222136202434925,-3.2693591041122,-0.32988687621121277,-1.8628770518148863,-0.19757793332752663,4.053488143422841,0.5252314771898894,1.1139662608212184,-2.8628342102624593,1.6149358169759167,-0.9413031937112443,-0.13848667398263667,0.7107827142726673,-0.9532902335501519,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562692,-15258.612051584185,-2095.377775984573,-1336.792999008931,2555.1103224811463,-6194.898005426849,464.26067965995355,-163.39474927869531,2.924343584782818,-9.998929138213004,11.028159116356896,3.419217257701456,5.095445859365926,-10.76732460112791,-4.829675300856696,3.1492617282370565,-2.2724080643769637,1.804523135558768,-0.8940790699503216,2.3516152527723175,10.2538330510248,1.1457007748226125,-2.453242638466794,-4.958888326908315,6.223566905983029,1.0136159852732938,2.1499420975488195,-0.9301112014896816,-0.937246553865213,1.4395794328454308,-2.3626270477728606,1.2411140124210844,0.6698462206430564,-0.2828186671128626,-0.8499296477509067,-0.5757171619737617,0.4823458098529437,-0.47651171947512927,-0.571048795246051,-0.07300287290568963,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.0088706579,-3015.7410641501006,-58.34523461592628,370.8824600001432,-3879.5232772067884,7489.697329852674,-405.9954000366029,112.79501353623543,85.64313384044297,-19.134351629504405,10.821908362769127,-11.277353518499298,-6.254652216376798,-4.95996742809229,-6.3414008701774724,-3.9347672883604172,-6.637151742294494,1.0899421297007779,5.3076051485804445,2.301951337944451,2.889022735126825,3.14783630535455,1.3421529004719033,-1.4261557272268641,-1.5886110348404858,3.0460032975609814,-0.4512058599400876,-2.7065265991212617,-1.358154960567486,-0.7798377763665904,-0.9855425252270866,4.163734796564031,-0.5805297762839086,1.875293044708255,-4.343371652251905,3.541045710322222,-2.3017518337187104,0.5080474104396487,1.5649354047729127,-2.2417850665557286,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575492,4406.1808028190235,-2973.777114700278,-1557.8801195258961,-15573.846834168617,-11654.29110501641,-703.4718964232561,-172.17550262515303,-40.77919769797402,9.78261378867539,-10.421676719490527,-4.272230487142029,-15.936266448982321,21.884035569513536,23.810170580615456,-15.307173844080843,13.54623004411997,4.190918366776336,-15.736517986956306,9.18867573462267,-0.38832322381899914,13.557446664178991,-1.9802299072853173,-2.011680665480874,0.6840305963275475,10.596911613221494,-11.492716997725793,-3.3149092367754527,-1.8212470271805905,-2.4458448561101895,4.076770273673327,11.454139291394537,-7.185430388293577,6.446830745969043,-8.950507674173576,6.148530100042929,2.7882424186597325,5.271453693825472,9.149721364726895,4.435820352967314,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207423,-15464.959965841319,22522.003356326677,7584.076690910318,2545.447962683997,3576.810506088012,-394.2799169955324,16.634058793217882,22.81931714535593,-12.076920591339471,-19.452363988436556,8.178206378674352,5.849690717896748,6.169608000381369,-18.2009889103399,-9.840051034657789,-7.87768387415329,-5.51602201817982,9.129777233602885,18.45174686893291,-9.151057839513278,-0.5923489455897611,3.1000572398807855,7.151740626610238,-0.20777848139494368,-3.4393159746880406,2.653723181214461,-4.275641597018976,-3.478222045931262,-1.883524447711517,0.1701485212153878,-6.5277622030228,8.024258357610165,0.7991574247883151,0.7553838153333592,-1.008819453413035,-1.8074913011199012,2.2578107833359797,-0.2938672279876579,-3.4349209812525627,3.531309226,3.020414912,3.275862069
26676.551301628886,71718.91671086628,4229.97969813162,-4431.085218514474,-81.87415521820007,-7518.3071507821605,12531.6205640111,560.8426227663226,-2.568954665943191,151.0937218134548,-30.29758116600519,4.95824368899135,-55.409214648040056,0.44910378020061187,-2.443292668433958,-17.09347645328396,-9.668513428237414,-15.235746953732393,15.943706385830009,-3.5233429812238604,-8.500211706551921,-6.06382735696915,9.182842350621526,9.832420670704327,-50.75499122057057,-36.300454745055,-20.708393958958002,-14.424651942503974,-1.6184425805069909,22.648467017199373,-4.78844753295889,0.18688156104289552,-21.531719579151613,4.146916850033017,35.69611144503129,-1.4812438602224094,-26.502781883202307,12.072881924256096,0.8791990530580385,0.9722342849406801,-6.685992398953176,1.56564417,1.167689163,1.366666667
-109808.71505541116,44567.06006826469,-10893.211824471666,-29969.39000357016,-8989.83835806298,-2091.022071574729,6185.938134344564,542.1687726205339,536.9082293873292,76.92982686543735,19.203580702752234,12.87435801071153,-48.383532826660165,0.20162758019522425,-1.2189779687002644,13.173750203823033,0.4631997957437356,35.68110005200463,32.88253598841631,-14.880440808156026,-24.701374915324187,-25.128636286413247,18.756433042321913,-23.893568897144235,3.331544783819629,-5.942936379411203,1.6742806999217346,-0.5160058484586945,-6.565078146786642,12.55931423732499,-4.874670857537453,10.411584555656535,-9.609605074967485,7.7530359738282835,-2.8700356832810883,16.584527139700707,15.110663121386393,-18.108843752653897,-7.111708426067703,-5.42597406544578,-7.205771829160695,1.642556938,1.324109728,1.483333333
127680.37018159019,-74465.5778586493,9678.06529616617,3301.2615358673547,1731.426202512519,-2244.7970753184454,14615.808687430925,-244.5671535195641,155.14329296334904,99.38114298511455,-11.83249737736014,17.674960468490035,-18.844199057906035,-10.44264868674297,-1.5867681308285129,-12.663394353675246,-4.803686325425097,-9.324071065420613,1.2293069665539937,5.918807271114905,3.893627717310385,6.714100764439578,6.4016264536867205,-0.6383921050032884,-3.5615389624343363,-3.460847767420717,2.7981942671859197,-1.5439792154492689,-2.719159257072308,-3.2794104708607454,-0.5569413009905465,0.040993420667914886,3.294783933965891,0.14818967719821383,2.2316402232706616,-4.6085035298910695,6.353672743766428,-2.9091832189282583,0.7538190043994737,2.615233139425295,-1.6071804527513038,4.257197985,3.639353739,3.948275862
-78041.96969912766,8500.943727850186,-33760.37683867951,-6354.432048003929,-1257.388495706301,3695.5943222295477,4991.557092448387,624.4744194061611,-16.428704108937307,5.118838383337466,-20.285790942638897,-8.672722204080246,8.689324001939896,9.846803185664509,-11.432395426748666,-5.714400998457108,9.8140852307481,1.5003673498835757,2.679118526596877,4.919736012702782,3.8314925596090013,9.212672830536281,4.936488439796198,-4.0668715201891095,-6.977793968376519,4.80678089682175,-0.8179748970522279,-0.8218819509438275,1.2726688483481712,-4.087317953409999,3.202782866601625,-2.743751825229676,2.8827051768367054,1.7498051759135544,2.3497996756774397,1.369751132406596,2.122339714411565,2.7840262311648276,0.6214644246463616,-3.063645759838023,-0.2806500100132119,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918204,2743.703403529457,617.602682057218,-1137.400289442559,-8230.064661035882,-9411.703603528438,260.1661174539845,129.57780063172092,50.387878125996245,11.283432672225356,1.7831588529770417,-8.229959251650236,2.8307868884253877,-4.6126093936259975,-4.315443653965851,0.6213579262230672,-2.822870830682723,-4.633075054350119,-3.0770611372104217,-2.4315323958201573,1.2655960642040849,-3.5550016398968314,4.481780046679471,-0.5284629527689819,-1.8563782685465533,0.650709188713271,1.6703564113962737,-4.057753526611824,2.288424310239938,-0.8488767474983385,2.185443000621441,0.5257175459414714,-1.7706445144825793,-1.1974936363819702,-0.8061000749984498,0.1587847558070511,-3.2461396072543365,0.27776697171398546,-1.7336953062459917,0.6809845844909037,4.766305092,4.305123479,4.535714286
417683.28306202847,16487.85137133099,-6916.163849700188,-40782.24172460932,36560.3474193277,21398.048467172666,-5700.180107221116,-606.572411477406,-136.2146130492546,43.04375297259578,13.201917337948482,-3.3764154248612703,-3.734955697754674,5.707655422611818,-4.979619308807374,6.4286107695044805,-11.40864381135529,15.66104897123902,-12.126556596984393,-5.0654183161603274,13.125299082276298,6.236604852126919,-8.946816601278812,10.954957289156184,-6.157576267337139,-1.414335473547894,-4.822063075033457,-0.3688665403788429,-7.44797623951047,1.208532278010531,-2.0857664500218513,0.4145009567881447,-1.227931344862032,-8.954214902130001,2.362265417280116,0.7173436246277518,6.812758529150931,1.6425620678863195,6.270298102891548,-4.6643752594997725,1.027799693963384,3.0643401,2.528252492,2.796296296
-208656.10983661853,-10399.087565069489,18626.08882136645,5632.565155430421,-814.0445660093437,-524.1586296290569,-16607.519646497298,305.5108486875803,-240.42475407754603,-7.818744417503808,-9.84042146679637,12.025059072216717,-6.193976353483235,6.581828484561439,-4.925534846826655,-7.393495743183245,-0.47732950964115867,0.01356898118906352,-1.8263028871819735,-1.7667518806092186,-1.8166823986966236,7.054496898005871,1.3901250485787908,-0.6835913068352771,-0.1245758404607044,0.7149642618421108,-1.2770041860365478,0.034282944892352236,2.768373759220531,0.8881622116826853,0.7250513282946751,0.8935098228515972,-3.0960451560354776,-1.6340627512798522,0.24836309068808812,0.6504533865060855,-0.819421882670157,-1.272234100100315,0.0013327072818515298,0.7290455251352627,1.966514163464421,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118448,-3015.341990118843,-58.39018601238718,370.9278399498598,-3879.716124956495,7490.1729249516,-407.14426143374624,158.70030978039603,81.57322256926352,-17.729628060628944,7.7823652950658255,-10.773471865086885,-5.429403343972785,-5.346116469996102,-6.853459482986558,-2.4056319143611486,-6.417690612345247,1.0300119918118524,5.566672613942172,2.9885575192930243,3.305358907719658,3.8260699666147393,-0.24188630189732357,-1.958310252903342,-1.3360235144005415,2.4035723069786252,-0.6727987066940462,-3.308322583195671,-1.9606165199594938,-1.0983197232721096,-1.1977898731696712,3.852086521632479,0.5880207353875464,1.5685167871797019,-3.6940683355476867,3.4336312119708468,-1.6153605247437335,0.24204038834349745,0.9704088283109836,-2.1674193580268355,4.586922149,4.190855629,4.388888889
