fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,CIHigh,CILow,MOS
26676.55130162889,71718.91671086628,4229.979698131632,-4431.085218514456,-81.87415521820463,-7518.3071507821405,12531.62056401122,560.8426227617284,-2.5689546658430187,151.0937218315965,-30.29758115888899,4.958243696349513,-55.40921487773861,0.44910377714694194,-2.4432926595763664,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.060068264684,-10893.211824471695,-29969.39000357003,-8989.838358062969,-2091.022071574722,6185.938134344624,542.1687726160891,536.90822936636,76.9298268746733,19.20358069824153,12.874358029812182,-48.38353302723405,0.20162757882394924,-1.2189779642853669,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864931,9678.065296166198,3301.2615358673434,1731.426202512525,-2244.7970753184395,14615.808687431067,-244.56715351755994,155.14329295728962,99.3811429970461,-11.832497374580894,17.674960494712707,-18.844199136024532,-10.442648615736994,-1.5867681250747891,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850185,-33760.37683867961,-6354.432048003902,-1257.3884957063008,3695.5943222295377,4991.557092448437,624.4744194010441,-16.4287041082956,5.118838383953119,-20.285790937874133,-8.672722216945813,8.689324037961395,9.846803118710246,-11.432395385297026,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.769699182056,2743.7034035294655,617.6026820572159,-1137.4002894425564,-8230.064661035862,-9411.703603528527,260.16611745185514,129.5778006266597,50.38787813204429,11.28343266957516,1.7831588556211904,-8.229959285767462,2.8307868691771203,-4.6126093768968195,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133099,-6916.163849700209,-40782.24172460915,36560.34741932762,21398.048467172608,-5700.18010722117,-606.5724114724385,-136.214613043934,43.043752977762615,13.201917334847645,-3.3764154298710953,-3.7349557132378792,5.707655383802249,-4.9796192907534715,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069489,18626.088821366502,5632.565155430397,-814.0445660093403,-524.1586296290567,-16607.519646497458,305.5108486850787,-240.42475406815626,-7.81874441844307,-9.840421464484859,12.025059090056203,-6.193976379160335,6.581828439807595,-4.9255348289639524,3.109396031,2.640603969,2.875
246964.02876949642,-52399.617251184485,-3015.3419901188513,-58.39018601238449,370.92783994986405,-3879.7161249564847,7490.172924951673,-407.1442614304106,158.7003097741978,81.5732225790569,-17.729628056464463,7.7823653066117995,-10.773471909748215,-5.429403307054818,-5.346116450610721,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653935,-33710.42896957725,-6817.721536319867,-1229.5585895470624,821.3302906853368,6582.007430683509,603.7399894008719,12.769232326361353,-51.51186755800844,9.85618865967931,-8.825302541004895,12.207246250796127,-0.2059068999685309,-2.6650773498444145,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528626,1497.0751847929532,-18507.148546626286,-7891.283239724362,23158.037151553533,2067.5690766957764,-362.5843055882409,-287.55221198779157,58.06556910889603,18.715083727990045,-13.325620153580756,-8.601402277011541,-3.1977224460026523,13.09692281511911,3.665622055,3.092998635,3.379310345
