fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,CIHigh,CILow,MOS
-133621.51855550037,-15741.948813769095,-886.0939702987953,1253.6319354801421,-472.51593519239634,1375.4164908713324,-2469.263725595966,-478.2506153029243,22.360107076492067,-9.532912858254921,26.421878599306353,13.603956730403056,-3.6819617645010694,-1.9349470088414973,-7.034788100955384,-0.8368391699711337,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978586,18576.19726396374,5627.119760526574,-800.2962380505169,-481.82187302034225,-16443.37187430329,-690.3004934087792,-252.6990801751393,-9.160485259590184,-29.135327299680537,16.852588302909314,-7.455327404343012,3.835665913388079,-9.039537618996867,-0.2221755090468868,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682252,14245.533031396288,60981.89587161586,21091.36779595819,-2400.0642295569073,19193.186418993115,-181.43319893548693,86.29455635637562,102.26950372988154,-51.31003985501004,114.28897768171397,50.373307075271526,62.58948266489601,42.743090435012704,85.96701466256945,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230006,-18411.51396321776,51530.72433377818,15567.617637467967,-11453.930146870493,-18307.42834463558,13.285176311062276,67.04207559235233,15.92249097510698,9.820093944043725,34.65133398509398,-0.21289099384471022,-12.955533253704518,-13.766890393565793,-4.368874134201044,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605614,-32194.503462540022,-5952.868097631344,-1586.6057813308776,4125.1380406006,-871.0962610529268,-451.0334297568426,-224.60216983416905,16.98033177968928,-22.735868360457513,7.320283684890439,9.838497298880458,8.302838347577737,-15.385083678113789,3.6283623167199814,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606609,2618.1994183548336,603.0517451831022,-1103.7924264183898,-8133.750324520051,-9036.46817612071,266.7389531195046,164.07228524456403,48.07683598591683,14.827340700860963,6.001363102064792,-7.306803397544068,4.872008822448721,-3.734627745964435,-0.8335883244712088,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750522,-34175.465587756284,-6403.600322374278,-1151.1998484861151,4006.630758978489,6196.011654332413,-347.7228541627121,-152.8734000431101,21.79875818018487,28.433279290407206,15.627389872366559,8.303504637411713,1.3247318060966073,-12.330249833676952,7.385013255881263,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558528,43007.21173214906,496.28682142553134,-156.3431935612862,-19288.127176016093,2063.1333151797344,239.13091331198396,-297.3934015849417,-72.48412356659661,-25.290548855172148,150.35766215107515,-19.57949059967325,-37.178246093744825,5.553228400641571,-47.0523117750616,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.3280615145,-21891.498100982222,-4222.671994412102,13673.694870388594,-5131.2788725534665,-839.6712968923018,468.7272357391548,404.9567115528649,155.1219684935302,-17.28808245477264,15.045685621629913,-7.062483917581361,-4.832654369114086,33.50509695891994,3.5747285297485574,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.78629283812,-3295.7383288444976,-92.14336902732228,443.1035543545985,-3671.634099581818,8301.207190005658,-393.68194125194884,262.75358471967706,74.35042577833983,18.123303711156904,17.521006299202575,-13.747821566343193,-7.21491983682193,-7.97231246759959,-4.6623819565202576,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300821,-30147.79783465284,-6991.559326821935,-1915.414591183068,-5885.682971936039,-1854.8103191976186,-635.5127643885468,157.4028805419571,57.12168775222481,-19.386770827503458,-1.642403465555657,4.3035733231113635,-0.16659480861870976,-12.300207694374539,3.2418697926823077,4.119839898,3.472752695,3.796296296
