fe-1,fe-2,fe-3,fe-4,CIHigh,CILow,MOS
-111511.39139821594,-4217.331928559447,-17600.554249793215,-2587.4097101641737,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211208,65310.31231060661,6853.4634065510545,1.442300703,1.057699297,1.25
-213707.64668739526,-2212.9749811147676,25044.849854822398,-3553.028688106838,2.576073139,2.123926861,2.35
-161757.64749986108,21975.321307285965,-32128.94291774641,-5945.490945369533,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247941,11640.217338242384,4125.327942557272,2.728559181,2.057155105,2.392857143
-101098.87213979196,6926.48666683763,47846.55527696787,-32033.438752514292,1.424230754,1.075769246,1.25
234048.40473543812,-62878.92683894204,13983.423873550659,3807.0111722438032,4.392735837,3.814160715,4.103448276
-209627.37297721813,-10505.76063560626,18585.645417005795,5628.075747261374,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775692067,-14774.153173959767,35625.04043198752,4.625796982,4.159917303,4.392857143
634664.483301602,8022.255790935086,-22450.535901180454,-6087.790261845107,2.694792401,1.945207599,2.32
317597.8308897546,-3485.1645196996624,6551.012843513353,-37332.04498526165,2.746840825,2.218676416,2.482758621
-110981.10054968388,32011.896479447998,-28211.92348080477,11028.350826456986,1.513780279,1.186219721,1.35
10855.216251976,-32573.670933483747,-2311.6733309195624,617.2641883121465,4.371789143,3.869590168,4.120689655
176344.48446837606,-1831.1631625830184,41623.89831047278,27684.468121691152,1.965763382,1.498522332,1.732142857
-53392.246184110976,-18012.320848377094,11421.450224733177,-22287.36802836502,1.868626477,1.476201109,1.672413793
-190106.4398123922,695.2418077839021,1854.4766887904962,1793.5134807794225,3.448905722,2.930404623,3.189655172
-199001.39537297364,7083.478348272487,4253.352899396692,-3001.645729908339,1.362669765,1.137330235,1.25
104026.95410753023,-45195.95266948061,29712.55658577299,445.472360548248,3.576319397,2.84034727,3.208333333
389190.7228423982,48615.37878434048,-2411.59752952269,16896.897913121873,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.34765011731,-33942.184207793216,-6844.768339544495,3.002162168,2.354980689,2.678571429
-51096.592935136534,-48395.26188262564,12707.192109727052,4250.245137720427,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.37501995612,13937.367352878284,3801.292839921056,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.843342942284,15694.266962924501,5070.044630971307,3.432505962,2.867494038,3.15
-182427.4743251619,17999.632582843697,-12689.93205656737,-6868.3145915496125,3.014959093,2.449326621,2.732142857
-163813.6276533671,21749.166463268528,-32209.15631909828,-5954.380185909485,3.551922047,3.103250367,3.327586207
446900.3969938461,-12433.825912072216,-30047.30609616069,-6979.597634437409,4.751477668,4.284236618,4.517857143
-162126.59825933375,-27921.84120033832,15479.95680928121,5045.304908306515,3.380332715,2.964494871,3.172413793
-26717.79814592108,-36667.711029890874,-3831.78598785229,438.99882701361275,4.373132173,3.780713981,4.076923077
-133309.22184593455,-391.21379098535823,1612.3835811245337,26405.45746271573,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.154994221604,33152.343575498635,-9109.30789566161,1.659640274,1.271394209,1.465517241
-112286.88048184244,-10143.051270092574,28099.825686459826,40923.78622585444,1.786571514,1.313428486,1.55
-132848.52508760942,-15660.234905786858,-854.9481043551061,1257.8418659100932,3.846189416,3.296667727,3.571428571
36943.090354561566,3017.0100441503023,-15034.833737703311,35594.7939008442,2.646890722,2.056812981,2.351851852
-210408.38766419824,-10589.186562058367,18558.332244465673,5624.459426950704,3.051922047,2.603250367,2.827586207
-125529.47621402454,-14861.66665488605,-558.1294203759734,1292.3678462967282,3.772468808,3.193048433,3.482758621
-161907.17682255633,21920.51509834968,-32060.32146225379,-5929.498555177982,3.460340236,2.987935627,3.224137931
-154254.64509202214,25077.723181466874,20528.219157763222,10455.160721404065,1.765816215,1.400850451,1.583333333
-111800.1137708097,-4246.227563053487,-17617.129714996478,-2589.8765208456816,3.91045444,3.503338664,3.706896552
292511.23376993765,96535.42824215424,24718.941829645086,-3529.760690758728,1.471686809,0.994979857,1.233333333
-226955.4181620551,13200.058313845957,27993.982409482785,15770.414877283503,1.945329132,1.488004202,1.716666667
127653.8428387956,-74467.57207966775,9674.14783391723,3300.630437585751,4.095679394,3.504320606,3.8
-141838.94618100804,-2659.549255890767,9373.372055568632,-13444.599378969955,2.637035504,2.190550702,2.413793103
-131948.61699090266,36620.907271165306,3822.0895889542094,6616.675520624324,1.74043084,1.328534677,1.534482759
-191644.61798483282,527.3264533813407,1790.4020473034693,1786.1402923810513,3.094947531,2.491259366,2.793103448
-199394.11838568616,8425.60306234613,8112.180355939125,-7412.28575195989,1.621677784,1.278322216,1.45
7075.798715895098,-32986.12210869017,-2460.1415687302524,599.9524138600398,4.23399043,3.535240339,3.884615385
11221.217982546108,-23418.30674647264,-19902.25112688588,-3326.530800993584,4.549695967,4.021732605,4.285714286
507285.50717909075,-14926.957384405885,-10085.79148824326,-2765.4290243402847,3.044920759,2.339694626,2.692307692
185503.7219477989,66690.73377635107,55513.50537891938,3833.9116736590504,1.26447695,1.068856384,1.166666667
-133024.93531949088,-15677.979266957496,-864.3225552559112,1256.435279243483,3.454788469,2.978544864,3.216666667
-140977.37820977552,32090.96842182976,5377.403919444268,-26187.68142688346,1.552327478,1.206293212,1.379310345
194960.65869782018,76837.82761683247,38291.31280587762,-67.05957369946229,1.543937516,1.222729151,1.383333333
-163367.94240929687,21797.332188097025,-32191.98993111493,-5952.286664873443,3.369995498,2.880004502,3.125
305227.315778517,30128.4807119474,8409.690202032954,51344.89811167683,3.764962853,3.028140595,3.396551724
-102390.9158285827,-3222.1749644431843,-17231.88654548623,-2544.5165666641014,3.909399125,3.469911219,3.689655172
35595.50249867749,11943.18351100408,-32611.768948475124,31661.354451912113,2.405101776,1.828231558,2.116666667
-111409.41792087,7566.273027123526,-13194.476860767496,-10196.169546693813,3.388944946,2.921399882,3.155172414
-14347.637429978906,13297.012857944625,2132.1441083392633,-37660.14153221201,3.907056989,3.437770597,3.672413793
-177014.217744257,11238.411006793853,-15221.578181771065,-2090.2249609785104,3.373239619,2.937105209,3.155172414
209985.06856173143,-33395.452128939745,37321.94436706746,-29971.37367067477,3.210241176,2.419388454,2.814814815
-208652.22729858168,-10399.324023761601,18628.07884687377,5632.927004532918,3.228121605,2.771878395,3.0
-76506.38212192181,-51165.01145266423,11674.95340472999,4129.478498068335,3.849214939,3.150785061,3.5
-92459.2260630112,-34947.048352892,17766.1755864402,-7561.171859070528,2.728516741,2.054091954,2.391304348
-88033.83864729258,7413.186502285306,-34170.77181432888,-6402.68141619447,4.041123384,3.392209949,3.716666667
-181960.25102534852,-4327.707405874882,29675.370966957704,-17322.897583456102,1.91045444,1.503338664,1.706896552
-87866.50211970834,21410.74765730407,-23566.794347725536,-21060.931847099077,3.165961789,2.619752497,2.892857143
517257.14296162646,-13840.122740010114,-9681.205460207255,-2719.048133072596,4.659037443,4.269533986,4.464285714
477412.6598567942,17033.314928323998,-5594.913974667611,54905.217950466744,2.686788331,2.05395241,2.37037037
-77623.80415645483,8546.810450908135,-33746.92790297048,-6352.889327075145,4.24461591,3.686418572,3.965517241
-154773.63207690264,11063.610520817223,9864.415822992827,25113.803782767758,2.303374142,1.770699932,2.037037037
10851.304938334431,-32573.861981435093,-2312.8470919898477,617.0863973908408,4.452997027,3.975574401,4.214285714
-168440.55533593716,30823.264128235915,-30836.418217060793,9753.126734752199,3.231543121,2.732742593,2.982142857
-191340.03181441032,559.1394542221539,1805.0459619359626,1788.1432387871946,3.46412956,2.93587044,3.2
-192550.9234679426,23579.67407920101,40949.44837221108,6588.300698340245,1.770033908,1.363299425,1.566666667
-54213.742957601244,53834.44607606722,18474.8478402866,-889.0566471077744,1.387269538,1.079397128,1.233333333
103837.30728488132,-4252.593833248678,-33681.60574339143,-6814.793960918014,4.592530589,4.157469411,4.375
114604.64662449253,58966.83185320452,52643.44926337167,3496.832039976546,1.294254321,1.050573265,1.172413793
-88873.0527672781,-30960.805138693446,27498.59865367592,-18527.61989611053,2.535804889,2.019750667,2.277777778
-190114.21770998172,696.294050026363,1851.0884203247374,1792.7224307369622,3.444807906,3.003467956,3.224137931
632550.916224035,39636.76978400821,-1546.2932680190424,-8841.071951271355,4.756993215,4.311972302,4.534482759
99947.85623601124,13076.836433395789,63898.76644908711,-50461.55092866656,1.284138137,1.015861863,1.15
-210255.5341417676,-10573.705386215432,18563.332851369072,5625.318761932611,2.624756782,2.153020996,2.388888889
-63313.495731317074,-31773.935259830596,18946.93114727197,-7422.139190753175,2.970983131,2.251239091,2.611111111
55361.814486334275,-18609.865335227783,-18114.741054122936,-3116.640926380532,4.442228583,3.928141788,4.185185185
-162708.4457579385,-27985.137869967053,15460.28610180529,5042.93598579402,2.558665314,1.941334686,2.25
-127985.57156894438,-15127.138577144939,-656.6106217225388,1280.3294223992118,3.653463529,3.070674402,3.362068966
