fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,CIHigh,CILow,MOS
-177783.0697999968,11158.491260562683,-15258.612051584289,-2095.3777759845625,-1336.792999008924,2555.110322481085,-6194.898005426853,464.26067966009816,-163.39474927049335,2.924343586578617,-9.99892909992384,11.028159129481818,3.4192172660730624,5.095445810999072,-10.76732468115628,-4.829675322287043,3.149261686319496,-2.2724080305348227,1.8045231156061734,-0.8940790544031924,2.3516152063488653,10.253833153712916,1.14570074712671,-2.4532426684180857,-4.958888184960593,2.653067263,2.154625045,2.403846154
246964.03748858173,-52400.008870657875,-3015.741064150122,-58.34523461592492,370.88246000014203,-3879.5232772066965,7489.697329852679,-405.9954000367297,112.79501353057326,85.64313389302492,-19.13435155623259,10.821908375649562,-11.277353546110954,-6.254652157006717,-4.959967464955139,-6.341400898314973,-3.9347672359857935,-6.637151643462766,1.0899421176455661,5.307605056324226,2.3019512925136905,2.889022764069674,3.147836229296494,1.342152916850895,-1.4261556864042357,4.518530885,4.014802449,4.266666667
-196930.49038238885,7262.109974575485,4406.1808028190535,-2973.7771147002622,-1557.8801195258886,-15573.846834168258,-11654.291105016418,-703.471896423476,-172.17550261650928,-40.779197723010434,9.78261375121449,-10.42167673189235,-4.272230497602235,-15.936266297712553,21.88403573216684,23.810170686271025,-15.307173640336938,13.546229842399011,4.19091832044848,-15.736517713406693,9.18867555329286,-0.38832322765570393,13.557446336606452,-1.9802299314794285,-2.01168060790259,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074222,-15464.959965841428,22522.003356326564,7584.076690910271,2545.4479626839397,3576.8105060880134,-394.27991699565473,16.63405879238345,22.81931715936546,-12.076920545092607,-19.452364011586855,8.178206398697903,5.849690662370796,6.169608046240356,-18.20098899111135,-9.840050903683263,-7.8776837568825195,-5.516021957190025,9.129777074869445,18.451746504958564,-9.151057931102308,-0.5923489312139159,3.10005727771597,7.151740421883844,3.531309226,3.020414912,3.275862069
26676.5513016289,71718.91671086624,4229.979698131652,-4431.085218514451,-81.87415521820003,-7518.307150781985,12531.62056401111,560.8426227664984,-2.5689546658154443,151.09372190622187,-30.297581049985933,4.958243694892178,-55.40921478370448,0.44910377593675893,-2.4432926865898894,-17.093476529125976,-9.668513299541814,-15.23574672684821,15.943706209538057,-3.523342919934609,-8.500211538914611,-6.063827417696697,9.182842128674958,9.83242079071403,-50.754989767691164,1.56564417,1.167689163,1.366666667
-109808.71505541116,44567.06006826466,-10893.21182447174,-29969.390003570006,-8989.838358062927,-2091.022071574682,6185.9381343445675,542.1687726207014,536.9082293603758,76.9298269126685,19.20358062921508,12.874358026030716,-48.38353294512282,0.20162757828099137,-1.218977977771214,13.173750262279723,0.4631997895764075,35.681099520741185,32.88253562482806,-14.880440549458251,-24.70137442798486,-25.128636538096508,18.756432589039264,-23.893569188812293,3.3315446884671296,1.642556938,1.324109728,1.483333333
127680.37018159019,-74465.57785864925,9678.065296166234,3301.2615358673397,1731.4262025125108,-2244.7970753183895,14615.808687430934,-244.56715351964013,155.14329295556078,99.3811430461317,-11.832497332049725,17.67496048952756,-18.84419910404448,-10.442648587619885,-1.5867681426179612,-12.663394409865266,-4.803686261484393,-9.324070926579797,1.2293069529576097,5.9188071682409795,3.8936276404508847,6.714100831698669,6.401626299002458,-0.6383921128066223,-3.561538860487049,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850177,-33760.376838679746,-6354.432048003897,-1257.3884957062921,3695.5943222294604,4991.55709244839,624.4744194063553,-16.428704108113294,5.118838386480914,-20.285790864957875,-8.67272221440248,8.689324023214864,9.846803092196748,-11.432395511721536,-5.714401023811884,9.814085100118975,1.5003673275622789,2.6791184969677206,4.919735927181766,3.8314924840001687,9.212672922801012,4.936488320485514,-4.066871569842979,-6.977793768638191,3.991799552,3.401057591,3.696428571
389387.71817667905,-36882.76969918203,2743.703403529476,617.6026820572148,-1137.4002894425532,-8230.06466103569,-9411.703603528442,260.1661174540667,129.57780062521644,50.387878156932096,11.283432629017385,1.783158855100792,-8.229959271800578,2.8307868615554543,-4.612609427906303,-4.315443673118638,0.6213579179518364,-2.822870788664622,-4.633075003117208,-3.0770610837150247,-2.431532347862772,1.26559607687485,-3.555001553975783,4.481780101392575,-0.5284629376408273,4.766305092,4.305123479,4.535714286
417683.28306202847,16487.85137133098,-6916.163849700236,-40782.2417246091,36560.3474193275,21398.048467172175,-5700.18010722112,-606.5724114775968,-136.21461304241575,43.043752999021294,13.201917287394187,-3.3764154288808177,-3.7349557068992567,5.707655368434443,-4.979619345823886,6.428610798022278,-11.40864365950406,15.66104873801966,-12.12655646289308,-5.065418228153648,13.125298823387833,6.236604914588986,-8.946816385063437,10.95495742288973,-6.157576091075088,3.0643401,2.528252492,2.796296296
