fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,CIHigh,CILow,MOS
-177783.06979999683,11158.49126056271,-15258.612051584198,-2095.3777759845484,-1336.7929990089349,2555.1103224811036,-6194.898005426812,464.2606796580799,-163.39474927054604,2.92434358443742,-9.998929136731105,11.028159114456514,3.419217256984321,5.09544585816226,-10.76732463697285,-4.829675299558391,3.1492617273060888,-2.2724080636487205,1.8045231460031774,-0.8940790696292327,2.351615251836813,10.25383304656949,1.145700764207812,-2.453242660941329,-4.958888324261357,6.223566973159031,1.0136159977331194,2.1499420959045996,-0.9301112007673454,-0.9372465530298342,1.4395794315117716,-2.3626270454202287,1.2411140110445156,0.6698462198442678,-0.2828186667358478,-0.8499296464910928,-0.5757171610218805,0.4823458090143209,2.653067263,2.154625045,2.403846154
246964.03748858176,-52400.00887065798,-3015.7410641501015,-58.34523461592497,370.88246000014414,-3879.523277206724,7489.697329852629,-405.99540003496463,112.79501353060986,85.64313383033628,-19.134351626668852,10.82190836090387,-11.277353516133923,-6.254652214898858,-4.959967444604135,-6.34140086847094,-3.934767287197322,-6.637151740170983,1.0899421360074177,5.307605146675846,2.3019513370359954,2.8890227338708883,3.1478362762137975,1.3421529127600127,-1.426155726462878,-1.5886110519929346,3.0460033349302367,-0.45120585958967163,-2.7065265970337293,-1.3581549593694897,-0.7798377756390231,-0.9855425242452891,4.163734791945932,-0.5805297756057856,1.8752930421364937,-4.343371645845271,3.5410457044487345,-2.3017518297033304,4.518530885,4.014802449,4.266666667
-196930.4903823889,7262.109974575499,4406.180802819026,-2973.7771147002445,-1557.880119525901,-15573.846834168366,-11654.291105016346,-703.4718964204175,-172.1755026165657,-40.77919769316117,9.782613787225497,-10.421676717694469,-4.272230486245976,-15.936266445217546,21.88403564236774,23.810170574210357,-15.307173839555562,13.546230039770736,4.190918391038993,-15.736517981315059,9.188675730978751,-0.38832322364645083,13.557446538640013,-1.980229925466401,-2.0116806644007714,0.6840306036979064,10.596911743244148,-11.492716988910445,-3.314909234240428,-1.8212470255801771,-2.4458448538249833,4.076770269614228,11.454139278687064,-7.185430379875836,6.446830737135369,-8.95050766094133,6.148530089914397,2.7882424137391837,3.107115012,2.596588692,2.851851852
-120360.21443036066,10134.504422074246,-15464.959965841337,22522.003356326422,7584.07669091034,2545.4479626839584,3576.8105060879907,-394.27991699394016,16.634058792388057,22.819317142663987,-12.076920589550127,-19.45236398508478,8.178206376959047,5.849690716514597,6.169608020919661,-18.200988905439704,-9.840051031749741,-7.877683871635012,-5.516022050107145,9.129777230320126,18.451746861618705,-9.15105783552541,-0.592348940118096,3.100057268246546,7.151740622786228,-0.20777848361952497,-3.4393160169285095,2.653723179186502,-4.275641593727344,-3.4782220428689667,-1.8835244459267702,0.1701485210476679,-6.5277621957714524,8.024258348204333,0.7991574238361242,0.7553838142179975,-1.008819451775394,-1.8074912979280067,3.531309226,3.020414912,3.275862069
26676.5513016289,71718.91671086638,4229.979698131623,-4431.085218514422,-81.87415521819888,-7518.3071507820405,12531.62056401103,560.8426227640596,-2.568954665817359,151.09372179563115,-30.29758116151662,4.958243688141344,-55.409214636418916,0.44910378009326607,-2.443292676561442,-17.093476448667364,-9.668513425374872,-15.235746948806439,15.943706478104861,-3.5233429799037776,-8.500211703307565,-6.063827354310121,9.18284226550604,9.832420760704629,-50.75499119351421,-36.3004551368045,-20.708394213090113,-14.424651931437403,-1.618442579316938,22.64846699723177,-4.788447528302048,0.18688156086269148,-21.531719555237263,4.146916844830506,35.69611139641057,-1.4812438579939908,-26.502781839294364,12.072881903255034,1.56564417,1.167689163,1.366666667
-109808.71505541117,44567.060068264764,-10893.211824471675,-29969.39000356981,-8989.838358063005,-2091.0220715746996,6185.938134344532,542.1687726183425,536.9082293605514,76.92982685635671,19.203580699907363,12.874358008494417,-48.38353281651226,0.20162758014803392,-1.2189779727632464,13.17375020026269,0.4631997956086296,35.681100040590124,32.88253617873316,-14.88044080280752,-24.701374905520947,-25.128636275500853,18.75643286860415,-23.893569116039597,3.331544782047676,-5.942936443579502,1.6742807205070258,-0.5160058480511355,-6.565078141690165,12.559314226271688,-4.874670853048892,10.411584545286935,-9.609605064306649,7.753035964669897,-2.8700356795073896,16.584527115058105,15.110663096334191,-18.10884372111125,1.642556938,1.324109728,1.483333333
127680.37018159023,-74465.57785864941,9678.065296166182,3301.2615358673174,1731.4262025125215,-2244.7970753184054,14615.80868743084,-244.5671535185765,155.1432929556112,99.38114297338691,-11.832497375606724,17.674960465443615,-18.84419905395358,-10.442648684275571,-1.5867681361113064,-12.663394350267286,-4.8036863240053504,-9.32407106243671,1.2293069736670628,5.918807268993593,3.8936277157627286,6.714100761523594,6.401626394408405,-0.6383921108718722,-3.561538960531126,-3.4608478047798252,2.7981943015051343,-1.5439792142614424,-2.7191592549808115,-3.2794104679711156,-0.5569413004624978,0.04099342062769416,3.294783930313006,0.14818967703042787,2.231640220238941,-4.608503523098414,6.353672733240585,-2.9091832138632765,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850208,-33760.37683867954,-6354.432048003855,-1257.3884957063021,3695.594322229485,4991.557092448362,624.4744194036401,-16.428704108118115,5.118838382733582,-20.285790939632626,-8.672722202584536,8.689324000117303,9.846803183338166,-11.432395464808256,-5.714400996921942,9.814085227847569,1.5003673494136878,2.679118542100127,4.9197360109365755,3.83149255808602,9.212672826535975,4.936488394062867,-4.0668715574572145,-6.977793964656526,4.806780948713085,-0.8179749070532276,-0.8218819503091626,1.2726688473587442,-4.087317949780251,3.202782863650262,-2.743751822497523,2.882705173641096,1.749805173788695,2.3497996724122165,1.3697511303726526,2.1223397109320463,2.784026226257154,3.991799552,3.401057591,3.696428571
389387.7181766791,-36882.76969918211,2743.7034035294623,617.6026820572092,-1137.4002894425626,-8230.06466103575,-9411.703603528387,260.16611745293665,129.57780062525808,50.387878120049855,11.283432670553175,1.7831588526685083,-8.229959249923962,2.8307868877566715,-4.61260940898068,-4.315443652801612,0.6213579260379254,-2.8228708297870524,-4.63307508116308,-3.077061136106097,-2.4315323948533782,1.2655960636500625,-3.555001606956693,4.481780087746409,-0.5284629524826392,-1.8563782885901603,0.6507091966747783,1.6703564101176793,-4.057753523471698,2.2884243082066384,-0.848876746729921,2.1854429984448562,0.5257175453560197,-1.7706445123560968,-1.1974936347193188,-0.8061000738092652,0.1587847555062929,-3.24613960155418,4.766305092,4.305123479,4.535714286
417683.28306202864,16487.851371331017,-6916.163849700197,-40782.241724608844,36560.34741932781,21398.048467172328,-5700.180107221084,-606.5724114749603,-136.21461304246034,43.043752967515154,13.201917335992405,-3.3764154242796325,-3.7349556969712636,5.707655421263499,-4.979619325386436,6.42861076777028,-11.40864380798294,15.661048966214318,-12.126556667166374,-5.065418314368205,13.125299077108298,6.236604849413759,-8.946816518403581,10.954957389537693,-6.157576264050502,-1.4143354888101467,-4.822063134206156,-0.3688665400863719,-7.447976233751339,1.2085322769453308,-2.0857664481281044,0.41450095637442896,-1.2279313435090258,-8.954214891604392,2.362265413961026,0.7173436235478668,6.812758517899206,1.642562064960844,3.0643401,2.528252492,2.796296296
