fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,CIHigh,CILow,MOS
-178650.8719795676,11062.867833753819,-15292.766710479345,-2099.0966993446236,-1327.0400452688714,2585.581610963545,-6075.2600977468555,-533.9472399869671,-119.90762391802102,1.0266131992382668,29.551542025330775,14.103339000777474,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784374,-15284.681606687414,-2097.135890019184,-1327.5456114847786,2583.9536932972424,-6084.385032158247,-531.2696258729883,-233.41025979811997,9.170634931931621,-9.635572418160724,14.663916616265729,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748278,17659.610353132044,30159.94897278627,8302.286396112815,32.45919688320282,-4641.716924840012,-504.7055503994514,-264.1888299543768,36.93804254554326,-7.428357503470025,-15.064522217622086,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160534,-3828.9450625180416,439.161155831402,338.51753964308784,759.5435675292043,7892.070411739663,-323.5797512032277,-59.151254248211195,-37.16111906691786,42.4558194699845,15.022663712542803,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769088,-886.0939702987994,1253.631935480148,-472.5159351923959,1375.4164908713449,-2469.263725595953,-478.25061530390656,22.360107076768536,-9.532912862034005,26.421878571220407,13.60395674092,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978575,18576.197263963833,5627.119760526602,-800.2962380505121,-481.8218730203464,-16443.3718743032,-690.3004934101975,-252.69908017826168,-9.160485263221787,-29.13532726871021,16.852588315937314,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682248,14245.53303139636,60981.89587161616,21091.367795958125,-2400.064229556936,19193.186418993006,-181.433198935859,86.29455635744263,102.26950377042188,-51.31003980046777,114.2889777700655,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230006,-18411.513963217854,51530.724333778424,15567.617637467923,-11453.930146870594,-18307.428344635482,13.285176311087243,67.04207559318122,15.92249098141844,9.820093933605198,34.65133401187981,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605603,-32194.503462540186,-5952.8680976313735,-1586.6057813308767,4125.138040600637,-871.0962610529218,-451.03342975776746,-224.60216983694465,16.98033178642149,-22.735868336289748,7.320283690550832,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.051606066074,2618.1994183548472,603.0517451831047,-1103.7924264183841,-8133.7503245201215,-9036.468176120658,266.7389531200512,164.07228524659178,48.07683600497557,14.827340685099811,6.001363106703237,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750512,-34175.46558775646,-6403.60032237431,-1151.1998484861151,4006.630758978527,6196.01165433238,-347.72285416342453,-152.87340004499944,21.798758188827122,28.433279260183177,15.627389884448851,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558525,43007.21173214927,496.28682142553464,-156.34319356127858,-19288.127176016264,2063.1333151797244,239.1309133124736,-297.3934015886167,-72.48412359533154,-25.290548828288806,150.35766226731087,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.32806151448,-21891.49810098233,-4222.67199441212,13673.694870388557,-5131.278872553513,-839.6712968922966,468.7272357401183,404.9567115578689,155.12196855502546,-17.28808243639567,15.045685633262448,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.78629283809,-3295.738328844513,-92.14336902732195,443.1035543545963,-3671.6340995818496,8301.207190005614,-393.6819412527575,262.75358472292424,74.3504258078148,18.123303691892172,17.521006312747495,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300821,-30147.797834652993,-6991.559326821971,-1915.4145911830635,-5885.6829719360885,-1854.810319197606,-635.5127643898516,157.40288054390234,57.12168777486987,-19.38677080689569,-1.6424034668249834,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787406,-35769.55001414476,-7059.316898388026,-690.7202763212025,2377.9619874095897,12627.966801172908,-275.20756701937097,-42.89203817880593,-34.00780152377901,11.943581197518654,0.4605684601464161,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.321083035427,3730.5014304141314,-6352.709710334978,-55747.337954612834,15132.127615672414,7696.058785712121,-419.25415080036987,-204.73227141304184,8.418966777546242,-23.138417075885783,-28.9760585582117,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153185,-19904.383547334826,-3326.889959273718,-159.75319865798764,1621.3306183993725,10462.34361671557,-295.4767198711833,-51.22027230111367,-36.96047659624956,-7.379816762429228,0.8976387581238991,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687673,-19966.818868024508,-3333.9196351852393,-142.079857661001,1671.2436655699512,10658.285895666892,-293.31063179560294,17.40438467403209,-43.29502102738196,-8.062355108294254,2.5863365101499602,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771632,20471.53843849083,14374.157935839174,280.2058310667415,39364.37307034194,-3719.2909475076126,390.63481108713995,302.8172133619757,-257.70421713351425,53.874557674875476,81.0775783270608,1.363997599,1.102669068,1.233333333
