fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,CIHigh,CILow,MOS
50030.00805463147,-10113.997947689417,-35856.497589709375,-7070.235058568723,-668.2179192098833,2441.9449831014686,12881.309331455368,-274.7289561227104,139.77415770605649,-50.99456046583391,18.22368333530466,-0.6449472834255182,13.212484414397883,-7.152106667704262,-4.622596342536003,3.343655823216772,4.010889752864174,-0.9177599206033166,0.5021269789088266,4.386049337099554,3.7249543123822852,-1.1864713492376513,-0.1396768341178602,-5.9865865062051205,1.372689199795785,-2.1314616527480634,-3.252556669460162,3.0405879859637026,-2.491082775521391,1.375965994580573,-0.0015345668693762652,-2.527685513179236,3.4477463972861138,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352839,-550.0972767851962,1293.4060038201644,-560.8143237253922,1119.014644420445,-3469.9147711157466,505.6260928216132,-147.99195626067572,3.592748318667423,-8.18454889069993,6.667883737594607,-3.82732419371248,3.3633932660548824,-4.182653702980827,-6.369863898471872,1.4030069435612227,-0.4398053833861488,0.004608831832892753,0.9871750646948316,-0.9144742686838523,6.739491378920829,1.7003570693379557,0.6570473538561321,-3.0380328583774725,0.7548355716633842,0.04167371761875293,-0.7121114021517599,0.39091477851258577,-0.666451971140052,1.9439360636870606,-1.1296768486632598,0.2807107027801106,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145773,12787.790589645363,4259.833315192683,673.1571690430169,-566.3248469977714,3515.6614387282107,611.4324764496596,-44.63990682744219,-46.94162188372835,9.787047699524633,6.17620466204016,-6.933410794539222,-11.012630606862047,8.031942134437129,-6.7348292927409945,-3.3424083512063554,-1.1539448572566477,-5.149720954265612,-0.7903692347965241,-5.79429105179803,0.6074057084626131,-1.229218158592053,5.609900849408435,1.1992161216968236,-5.076926855335843,3.0794540625755142,-0.8200641970067484,-0.3703457930901613,-0.6375756722180171,4.474410363070548,0.49720503418214773,-3.2652518636358416,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764628,-16536.0861500663,-3524.2664239157752,-796.098525786144,-4945.407346563558,2571.0582169450627,-525.2452499764531,117.82768750206048,73.28616828541719,-6.671407003690319,5.796978006745456,-3.1326572916337865,-1.887383420618109,-8.871732167967116,-0.04093927003201417,-1.222754337341774,-5.073751569833016,0.19236307744551365,2.7103565371191767,2.6805308769476235,-0.04959984851990725,0.6440132901176563,1.2754525194979824,0.4596947450462057,-0.32227334895257964,2.7969736639870564,1.2221361881665396,-3.269359279227612,-0.32988687170279385,-1.8628770249615298,-0.19757793024451825,4.053488072311339,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.4912605627,-15258.612051584256,-2095.377775984552,-1336.7929990089249,2555.1103224811463,-6194.898005426868,464.26067966222763,-163.39474927202247,2.924343586790759,-9.998929127397869,11.02815917234493,3.419217250398088,5.095445846166801,-10.767324608984024,-4.8296753630486595,3.149261716875606,-2.272408055222428,1.8045231382643232,-0.8940790657514103,2.3516152402582655,10.253832989625415,1.1457007673616262,-2.453242621046888,-4.958888288778505,6.223567137238056,1.0136159757795349,2.1499420724544214,-0.9301112513129352,-0.9372465410481498,1.4395794120962018,-2.3626270109114325,1.2411139906493154,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.008870657926,-3015.741064150115,-58.34523461592501,370.8824600001419,-3879.5232772067884,7489.697329852697,-405.99540003859175,112.79501353162891,85.64313389926149,-19.134351608808082,10.82190841770859,-11.27735349441121,-6.254652200174926,-4.959967431711236,-6.341400951837535,-3.934767274166184,-6.637151715549865,1.0899421313367892,5.307605123673697,2.301951325697908,2.889022717829895,3.1478362848936445,1.342152890935298,-1.426155716274562,-1.588611093870437,3.0460032690052246,-0.45120585467599283,-2.7065267440890795,-1.3581549420003365,-0.7798377651174085,-0.9855425098502915,4.1637347235170665,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575492,4406.1808028190435,-2973.777114700248,-1557.880119525891,-15573.846834168617,-11654.291105016446,-703.4718964267021,-172.17550261812266,-40.77919772597811,9.782613778093841,-10.421676772398735,-4.27223047801679,-15.936266407701998,21.884035585483566,23.810170887229855,-15.307173788854467,13.546229989564157,4.190918373055965,-15.736517913096606,9.188675685744359,-0.3883232214815461,13.55744657606966,-1.9802298932111706,-2.011680650051305,0.6840306217460014,10.596911513883683,-11.492716863582253,-3.3149094143198865,-1.821247002283901,-2.4458448208338486,4.0767702100684735,11.454139090441672,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074235,-15464.959965841392,22522.00335632645,7584.076690910273,2545.447962683997,3576.8105060880216,-394.2799169974628,16.634058792538017,22.819317161028817,-12.076920578276754,-19.452364087192606,8.178206361205948,5.84969070274404,6.169608004883957,-18.200989144718456,-9.840050999160573,-7.877683842406202,-5.516022026448886,9.12977719076235,18.45174677082851,-9.151057784713219,-0.5923489417034848,3.1000572178711208,7.151740571595451,-0.20777848910711663,-3.4393159424623096,2.6537231502336174,-4.275641826033446,-3.4782219983884537,-1.883524420532705,0.17014851856203161,-6.527762088495719,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086631,4229.97969813164,-4431.0852185144295,-81.87415521820309,-7518.3071507821605,12531.62056401114,560.8426227690703,-2.5689546658394034,151.09372191722642,-30.29758113323491,4.95824371416478,-55.40921452968782,0.44910377903661136,-2.443292670212915,-17.0934766733919,-9.668513393356779,-15.235746892314602,15.94370640973744,-3.523342964671424,-8.500211661448454,-6.063827320625362,9.18284229080714,9.832420600738352,-50.75499083041067,-36.300456093895306,-20.708393764851287,-14.424651774138692,-1.6184426671784606,22.648466707577228,-4.788447463906552,0.18688155812929805,-21.531719201404638,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826471,-10893.211824471713,-29969.390003569857,-8989.838358062934,-2091.022071574729,6185.938134344584,542.1687726231864,536.908229365404,76.92982691827021,19.203580681980984,12.874358076075362,-48.38353272331458,0.20162757967227002,-1.2189779695913798,13.17375037347342,0.4631997940793068,35.68109990824958,32.882536037720946,-14.8804407383379,-24.70137478397052,-25.128636135940198,18.75643292043016,-23.893568727358392,3.3315447582536386,-5.942936600253845,1.6742806842375892,-0.5160058424423468,-6.56507849842071,12.559314065640825,-4.874670787344166,10.411584393213975,-9.60960490637805,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864934,9678.065296166213,3301.261535867323,1731.426202512513,-2244.7970753184454,14615.80868743097,-244.56715352076165,155.14329295701285,99.38114305336876,-11.832497364561782,17.67496055822,-18.844199017655402,-10.442648659692713,-1.5867681319857543,-12.663394516744159,-4.8036863080966565,-9.324071027842976,1.2293069683992475,5.918807243341672,3.8936276965935663,6.714100724240795,6.4016264120743855,-0.6383921004707942,-3.56153893507327,-3.4608478960173046,2.7981942409508656,-1.543979197429905,-2.7191594027164214,-3.279410426028483,-0.5569412929415442,0.04099342002898714,3.2947838761634984,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850201,-33760.376838679666,-6354.432048003865,-1257.3884957062962,3695.5943222295477,4991.557092448403,624.4744194092192,-16.428704108266125,5.118838386852958,-20.2857909206973,-8.672722248106934,8.689323983379655,9.846803160157386,-11.432395435090159,-5.714401072039241,9.814085195343356,1.5003673438415754,2.67911853061414,4.9197359896222945,3.831492539215557,9.212672775374417,4.936488407686973,-4.066871491308995,-6.977793914726468,4.806781075433995,-0.817974889370231,-0.8218819413459202,1.2726689165100813,-4.087317897519787,3.2027828204419397,-2.743751782422348,2.8827051262665053,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918207,2743.703403529469,617.6026820572113,-1137.4002894425525,-8230.064661035882,-9411.703603528467,260.16611745526035,129.57780062642863,50.38787816060249,11.283432660020898,1.7831588620273229,-8.229959234071242,2.830786881092765,-4.612609396991914,-4.315443709539232,0.6213579239797784,-2.822870819302234,-4.633075061297443,-3.077061122775053,-2.431532382877735,1.2655960566222901,-3.5550016167869036,4.481780014836986,-0.5284629487158226,-1.8563783375283094,0.6507091826045225,1.6703563918929563,-4.057753743951064,2.2884242789505103,-0.8488767352692032,2.185442966524282,0.5257175367151983,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.851371331,-6916.16384970022,-40782.241724608924,36560.34741932746,21398.048467172666,-5700.180107221135,-606.5724114803791,-136.21461304369214,43.043753002158475,13.201917323668688,-3.3764154420017563,-3.7349556897770912,5.707655407826513,-4.979619312441168,6.428610852292349,-11.408643770193992,15.66104890815994,-12.12655661517257,-5.065418292382734,13.125299012500776,6.236604814775613,-8.94681654314185,10.954957211306253,-6.157576220012903,-1.4143355261032184,-4.822063029832274,-0.3688665360822949,-7.447976638434742,1.2085322614938734,-2.085766419990258,0.41450095032052564,-1.227931323332622,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.0875650695,18626.08882136654,5632.565155430364,-814.0445660093362,-524.1586296290569,-16607.51964649735,305.5108486890779,-240.42475406772812,-7.818744422872871,-9.840421456152665,12.025059133263309,-6.193976340253089,6.581828467512122,-4.925534850420074,-7.393495838390706,-0.4773295079199855,0.013568981143396946,-1.8263028899206502,-1.7667518723190259,-1.816682389037069,7.054496855762845,1.3901250395413505,-0.6835913019780807,-0.12457583950907046,0.7149642884107825,-1.2770041740685136,0.03428294449425116,2.768373907501842,0.8881621995389855,0.7250513178480245,0.8935098089110957,-3.09604510172262,3.109396031,2.640603969,2.875
246964.02876949642,-52399.6172511845,-3015.3419901188577,-58.39018601238556,370.92783994985916,-3879.716124956495,7490.172924951624,-407.14426143574053,158.70030977391474,81.57322262528703,-17.729628041452028,7.782365334574211,-10.773471842075061,-5.429403329908618,-5.346116473896692,-6.853459571240498,-2.4056319056835505,-6.417690586483778,1.0300119933580463,5.566672587820172,2.9885575033943654,3.3053588879303413,3.8260699417461956,-0.24188630017980864,-1.958310237859445,-1.3360235640443165,2.4035722844446017,-0.6727986988441926,-3.308322760396673,-1.9606164931570966,-1.0983197074303108,-1.1977898544812653,3.8520864540539757,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653922,-33710.42896957731,-6817.721536319827,-1229.5585895470585,821.3302906853401,6582.007430683464,603.7399894087754,12.769232326339067,-51.511867587202616,9.85618865133371,-8.825302572714426,12.207246174116772,-0.20590690083525545,-2.665077361452197,2.7802922877754757,5.550647572066971,3.363533978000651,-1.9882013799792686,1.0274999921221342,-3.0274396972925737,-1.819189117435746,-3.9498435389760704,1.57543675924465,-2.4060732438695007,-0.5195065901892081,-1.280474523550266,0.4118694000252513,1.474253340671095,-0.2078549338821896,1.839364812381638,-0.6917316969802328,-0.49385507409536394,3.658971212,3.055314503,3.357142857
