fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,CIHigh,CILow,MOS
-163371.80213962417,21798.27843460558,-32194.503462539873,-5952.868097631384,-1586.605781330877,4125.138040600612,-871.0962610529336,-451.03342975907265,-224.60216983715262,16.980331779847077,-22.73586841005169,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606604,2618.1994183548222,603.0517451831055,-1103.7924264183866,-8133.750324520078,-9036.468176120781,266.73895312082345,164.07228524674338,48.0768359863834,14.827340733204071,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750509,-34175.46558775612,-6403.600322374323,-1151.1998484861153,4006.6307589785024,6196.011654332463,-347.7228541644313,-152.87340004514078,21.798758180388905,28.433279352431445,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558518,43007.21173214885,496.2868214255364,-156.3431935612876,-19288.12717601616,2063.133315179752,239.1309133131664,-297.3934015888924,-72.48412356729038,-25.290548910340725,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.32806151444,-21891.49810098212,-4222.6719944121305,13673.694870388566,-5131.2788725534865,-839.6712968923085,468.7272357414715,404.9567115582441,155.12196849502075,-17.28808249248356,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.78629283806,-3295.7383288444794,-92.14336902732393,443.10355435459854,-3671.6340995818287,8301.207190005724,-393.6819412538946,262.75358472316736,74.35042577905544,18.12330375069037,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.36008030081,-30147.7978346527,-6991.559326821985,-1915.414591183067,-5885.682971936061,-1854.8103191976327,-635.5127643916879,157.40288054404795,57.121687752772814,-19.386770869792716,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787397,-35769.55001414441,-7059.3168983880405,-690.7202763212032,2377.9619874095747,12627.966801173076,-275.2075670201677,-42.89203817884525,-34.00780151062871,11.943581236268383,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.3210830354224,3730.5014304141014,-6352.709710334975,-55747.3379546129,15132.127615672325,7696.0587857122255,-419.2541508015856,-204.73227141323076,8.41896677427818,-23.138417150952804,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153163,-19904.38354733463,-3326.8899592737257,-159.75319865798613,1621.3306183993634,10462.34361671571,-295.4767198720378,-51.22027230116088,-36.96047658195519,-7.379816786371528,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.72480268765,-19966.818868024315,-3333.9196351852474,-142.07985766099938,1671.2436655699428,10658.285895667035,-293.3106317964511,17.404384674048497,-43.29502101063697,-8.06235513445098,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771625,20471.538438490632,14374.157935839206,280.20583106674457,39364.37307034174,-3719.290947507658,390.6348110882695,302.8172133622574,-257.7042170338279,53.874557849662345,1.363997599,1.102669068,1.233333333
-102559.46708534396,-3239.487211698196,-17240.127911682754,-2545.701576043994,-900.2663419025154,2439.497711488813,882.9946881069034,568.3023886481342,-115.81654088728808,11.45619367469608,53.28410664854143,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439866,20048.95287220691,-33869.24849749366,38890.543618746946,23529.52356083998,4136.7462435401985,-372.5111937538795,26.863075150505733,57.65785927783865,38.77096870162922,2.986568337,2.293431663,2.64
-196314.94908131598,9595.50877627794,3161.765385308532,17493.76074966717,4146.381794015102,833.4866999164763,-10676.259158493367,-607.6863165656241,-228.03863889275925,23.85626333551704,-23.092906226098492,3.319639376,2.7838089,3.051724138
99227.65415197522,-4755.525827243188,-33862.49421533313,-6835.916160388187,-1189.5456986259255,935.8738712843392,7030.301689272335,609.4672945047498,138.3503238236105,-64.34715878958909,-7.553299549013988,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.996948818676,46198.86596276784,-36004.34865211608,-17609.995609036174,39153.562835179124,-8098.219923997466,394.54886483008283,-434.3976439311249,-80.65005282711982,42.20017114125994,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.91316287438,12805.27800486872,4261.973145525521,668.7992030794306,-578.9998940271062,3466.4788485306103,610.4194372251808,-43.99335346044056,-46.764780275027,13.365235296515998,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914608,-30775.68262241324,9759.988005768762,3638.324367452026,3951.8807625749305,-112.26104296584201,554.1667178073556,-183.44116162796303,39.914762880832605,-13.680846051987919,3.523768328,2.976231672,3.25
-184052.13990181385,19156.951573615846,-9777.272752282506,-2871.865430037544,-16308.6534750356,8076.325763280108,-4610.20302384687,-505.38231839023723,-143.5997727322874,-10.097378553099379,-8.248002417298231,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638792,24267.12235516179,3818.4732466565083,-23867.429968744636,8942.576401372427,-3805.393922528471,-479.7599776272725,-147.18345801842565,16.795026804605467,-1.7739013283833887,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.29406605396,-22849.537328774786,4182.857420048224,-11739.308752691122,-6948.161866914557,2120.738012133419,-502.0435800983366,478.63658056576196,139.2154205260106,-21.077030910518396,1.868626477,1.476201109,1.672413793
-102740.1310454273,-3260.8968369164645,-17240.388383106772,-2545.4157845415098,-898.1551503660921,2443.771138859422,903.6443111187339,564.9472035088679,32.15753841752972,-5.411818633761452,-3.9200909111461675,3.720526178,3.246140488,3.483333333
-191915.69020242395,27885.889161593514,-8528.711275313546,12819.668571447062,-11036.567994416637,8036.71364064336,-3312.8013466269385,-511.20550087199337,784.4122641060738,-74.77838220641429,26.13262478781947,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.655974164745,-33757.3984232662,-6355.234525824399,-1261.726421419805,3685.2650173062584,4948.850848655338,625.6334578713911,-95.57881019049788,14.085178746266125,10.025177262218884,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463306,22395.155366063103,-2283.4749004124124,-55927.04339150998,12311.989193695988,-2476.9663424299806,397.7494867264177,-6.6255993197127925,-27.8370990568124,1.7133471246608052,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.713320727664,15718.158086640597,5072.757504565808,-134.52922290833666,58.97966703949402,-6808.125064963972,456.55354382684857,70.86037921382119,-20.99965191205214,3.4467053846219815,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100544,15730.910987404182,5074.5750491293775,-138.75146089453852,48.3551001748171,-6854.922636002839,460.773119727961,-133.47158155118723,-3.4777620254120953,-14.278669664660422,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.55172447224,20111.226174822437,-697.5644623939784,443.36535287923545,-8291.0121994226,10305.111796286532,537.8525021889233,54.36201876355754,149.38401371979631,3.464659055590263,1.467294188,1.153395467,1.310344828
-111511.39139821591,-4217.331928559442,-17600.554249793095,-2587.409710164191,-804.9756272806228,2716.950172121367,1959.5593662445824,-408.75765078176806,-162.29966478931723,13.016135932655741,-18.67882698603379,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211201,65310.31231060618,6853.463406551102,3371.63061805904,-13688.685519196446,25364.605778042544,-257.5472807682213,-351.0104655581921,17.59410934296591,19.142944207603442,1.442300703,1.057699297,1.25
-213707.64668739523,-2212.9749811147553,25044.849854822238,-3553.0286881068623,9634.634542500668,6831.152886313782,-17898.340631330397,303.1946675209877,-99.3358714790334,-6.245377717705651,15.154133169225627,2.576073139,2.123926861,2.35
-161757.64749986108,21975.321307285914,-32128.9429177462,-5945.490945369575,-1604.222556811929,4071.5312182267726,-1078.9381302968725,543.9212534422203,-211.25191826247885,17.87460094946751,3.2239598665318923,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247928,11640.217338242308,4125.3279425573,974.0574356792127,303.70657813769503,6896.116761211301,-321.6948942674302,-32.27103269185695,-41.91985215117852,13.835733370225295,2.728559181,2.057155105,2.392857143
-101098.87213979197,6926.486666837623,47846.55527696754,-32033.43875251452,-11236.313187072225,-8964.161389949533,5658.712009568383,504.5003645805047,293.1234428267609,25.489091745793885,47.13377566238104,1.424230754,1.075769246,1.25
234048.40473543818,-62878.92683894189,13983.423873550568,3807.011172243829,604.832540024572,-5495.357314085401,1986.8032729191539,506.81492615509967,128.04540719705037,75.83231695268474,-8.696984635201988,4.392735837,3.814160715,4.103448276
-209627.37297721815,-10505.760635606233,18585.64541700568,5628.075747261414,-803.2589349860307,-490.0582568843895,-16475.68355032213,-690.671042927402,-263.928236734514,-6.156374708828771,-3.224191060684121,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775691985,-14774.153173959665,35625.04043198778,12291.008255225637,-46.98797273289942,7457.201436954687,628.9251308692815,-216.30716705651304,-21.939105854503683,56.21511246834526,4.625796982,4.159917303,4.392857143
634664.4833016021,8022.255790935064,-22450.53590118031,-6087.790261845147,-3929.7544717291307,-11695.964244109817,-24425.389754913656,-82.45090962029829,240.03245793128443,-0.5927046834434472,-16.80620791630065,2.694792401,1.945207599,2.32
317597.83088975464,-3485.164519699653,6551.0128435133065,-37332.04498526191,37717.59782069733,22447.373143636447,-849.4283033971763,-489.0631204368101,-129.08718306597854,57.50865758636847,12.63266068897414,2.746840825,2.218676416,2.482758621
-110981.10054968385,32011.896479447925,-28211.923480804573,11028.350826457063,6547.449936488611,-22466.145051317715,8402.593631113854,-469.48759899976926,607.9741651534454,-116.60766611776268,39.754730229764355,1.513780279,1.186219721,1.35
10855.216251976,-32573.67093348368,-2311.673330919545,617.2641883121503,-58.22127817417056,-387.5326440797905,3436.9545351923443,586.9416353991678,-14.764742294731253,-50.1431363433101,33.38702415990733,4.371789143,3.869590168,4.120689655
176344.484468376,-1831.1631625830037,41623.89831047249,27684.468121691345,58461.0865478799,21728.64033368317,2952.300031261237,605.6545502550792,-345.61195443324806,-35.080505364582734,29.121507114306482,1.965763382,1.498522332,1.732142857
-53392.24618411097,-18012.320848377058,11421.450224733104,-22287.368028365177,26262.639508326945,19340.516014074296,6372.142721580668,-313.12896303625274,947.8735155009277,-175.99399786512606,-214.51618656277148,1.868626477,1.476201109,1.672413793
-190106.4398123921,695.2418077839011,1854.4766887904848,1793.5134807794357,-1108.1538674192818,915.438623706823,-11788.66211972013,377.9786295699946,-230.92866893604528,-0.3221852499579193,-12.695290986623457,3.448905722,2.930404623,3.189655172
-199001.3953729736,7083.478348272471,4253.352899396665,-3001.6457299083595,-1536.1411062196505,-15509.460153443179,-11386.997057472801,282.00643809855126,592.7121662078347,-111.66428553932768,10.000387833763543,1.362669765,1.137330235,1.25
104026.95410753023,-45195.95266948052,29712.556585772792,445.472360548251,-53158.886123580676,18008.006136537337,20423.06888839344,-126.26330280021374,-120.00166033831636,29.724734450605922,-32.39962822515352,3.576319397,2.84034727,3.208333333
389190.72284239816,48615.37878434037,-2411.5975295226763,16896.89791312199,55914.6678610344,21263.711932756127,-1180.8719319161812,-540.5816911049332,-381.11892066135357,-52.308767097067154,26.99961600950564,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.3476501173045,-33942.18420779299,-6844.768339544542,-1163.177416185205,995.1747963914123,7270.813269591456,612.1652701298086,232.95937864853065,-76.466328871247,-15.306174837326704,3.002162168,2.354980689,2.678571429
-51096.59293513654,-48395.261882625535,12707.19210972697,4250.245137720455,695.5568690292704,-503.4697267279772,3765.1165634505824,611.5220656866933,149.40763351812464,-65.57867651647325,-5.661759090376359,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.37501995599,13937.367352878191,3801.292839921081,616.2979909418458,-5462.143193897824,2116.3755692907976,508.7871307932592,150.8592118659194,74.66621751250031,2.894436685587658,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.843342942226,15694.266962924396,5070.0446309713425,-129.14398535936198,75.6596416208268,-6747.04224604478,461.20325724565373,-64.94516926300415,-9.416523243183088,-14.450567075920524,3.432505962,2.867494038,3.15
-182427.4743251619,17999.63258284365,-12689.932056567282,-6868.314591549662,-1810.6077569309423,-13996.505640982501,-6308.239272201289,379.39092531328714,-194.80993760459992,-28.110785601429736,4.2662248415528214,3.014959093,2.449326621,2.732142857
-163813.62765336706,21749.166463268473,-32209.15631909807,-5954.380185909524,-1581.8663141073357,4138.081483599712,-819.264520742911,-450.8896051623961,-176.29643726743453,9.54602414969939,-8.846636943399275,3.551922047,3.103250367,3.327586207
