fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,CIHigh,CILow,MOS
-178608.71097964683,11062.663455784383,-15284.681606687318,-2097.1358900191676,-1327.5456114847714,2583.9536932972233,-6084.3850321584905,-531.2696258668614,-233.4102598014851,9.170634932145086,-9.635572436531227,14.663916622270248,5.6149258920141305,6.107481052499537,-11.972011697885076,3.346679549392302,1.2117897178007189,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748298,17659.61035313193,30159.948972786067,8302.286396112777,32.45919688320209,-4641.716924840195,-504.7055503936326,-264.18882995818666,36.93804254641058,-7.428357517632457,-15.064522223790457,-1.965719387473217,0.6039283617140095,11.87459694772427,-15.24748272688316,-19.371924265557983,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.450921605385,-3828.9450625180175,439.161155831398,338.51753964308864,759.5435675291981,7892.070411739978,-323.5797511994966,-59.15125424906403,-37.16111906779017,42.455819550928155,15.022663718693897,-1.0152222742430017,-14.308534044747637,3.1477351736119004,5.038030789056053,-3.033963344317248,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769106,-886.0939702987938,1253.6319354801396,-472.51593519239196,1375.4164908713342,-2469.2637255960517,-478.2506152983925,22.36010707709075,-9.53291286225799,26.421878621594757,13.60395674649024,-3.681961733103163,-1.9349470128662392,-7.0347881170874995,-0.8368391586821942,3.074820672177737,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978588,18576.197263963717,5627.119760526562,-800.2962380505078,-481.8218730203428,-16443.371874303855,-690.3004934022387,-252.69908018190586,-9.160485263436383,-29.135327324257855,16.85258832283757,-7.4553273407676555,3.835665921365959,-9.039537639727428,-0.22217550605082298,-8.121746594673226,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682254,14245.533031396271,60981.895871615736,21091.367795958016,-2400.064229556919,19193.186418993777,-181.43319893376793,86.29455635868639,102.26950377282313,-51.31003989829266,114.2889778168616,50.373306645712944,62.58948279507848,42.743090533028294,85.9670135030113,64.59479861994495,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230009,-18411.513963217738,51530.72433377808,15567.617637467836,-11453.930146870509,-18307.428344636213,13.285176310931568,67.04207559414661,15.922490981795251,9.820093952327452,34.65133402606716,-0.21289099202905523,-12.955533280650329,-13.766890425140845,-4.368874075281926,-8.423274341595326,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605625,-32194.503462539982,-5952.868097631331,-1586.6057813308698,4125.1380406006065,-871.0962610529576,-451.03342975256487,-224.6021698401824,16.980331786817196,-22.735868379636415,7.320283693548682,9.838497214982455,8.302838364846483,-15.385083713394797,3.6283622677823235,3.5136203461405615,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606612,2618.19941835483,603.0517451830988,-1103.7924264183785,-8133.750324520059,-9036.46817612102,266.7389531169739,164.0722852489567,48.076836006105765,14.827340713368613,6.0013631091601605,-7.30680333523516,4.87200883258242,-3.7346277545302717,-0.8335883132301998,0.09023057737801839,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750522,-34175.46558775624,-6403.600322374264,-1151.1998484861094,4006.630758978496,6196.011654332626,-347.7228541594132,-152.87340004720286,21.7987581893359,28.433279314392454,15.62738989084806,8.303504566603372,1.324731808851401,-12.330249861952222,7.385013156273614,3.487473838273754,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558534,43007.21173214899,496.28682142553214,-156.3431935612828,-19288.127176016114,2063.1333151798067,239.13091330971628,-297.3934015929048,-72.4841235970317,-25.290548876506037,150.35766232887443,-19.57949043270899,-37.178246171072665,5.5532284133779415,-47.052311140408335,-15.332264813309653,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.328061514534,-21891.498100982193,-4222.671994412092,13673.694870388472,-5131.278872553473,-839.6712968923304,468.72723573471376,404.9567115637079,155.12196855866458,-17.28808246935597,15.045685639423253,-7.062483857356169,-4.832654379166367,33.50509703576172,3.574728481546595,-14.518811533221196,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.786292838144,-3295.7383288444917,-92.14336902732386,443.10355435459695,-3671.6340995818227,8301.207190005945,-393.68194124821935,262.7535847267122,74.35042580955957,18.123303726444984,17.521006319921476,-13.74782144910859,-7.214919851828607,-7.972312485881592,-4.662381893630994,-2.825465937858887,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300834,-30147.797834652803,-6991.559326821923,-1915.4145911830535,-5885.682971936045,-1854.8103191976813,-635.5127643825243,157.4028805461716,57.12168777620957,-19.386770843857285,-1.6424034674972847,4.303573286412577,-0.1665948089653933,-12.300207722582329,3.241869748955093,0.697994802131099,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787415,-35769.55001414454,-7059.316898387977,-690.7202763211989,2377.9619874095706,12627.96680117341,-275.2075670161964,-42.8920381794237,-34.00780152457894,11.943581220289627,0.4605684603353746,12.280957998636168,-7.314585184362953,-3.5806487594768055,7.38727688869916,1.45359335573021,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.3210830354174,3730.501430414107,-6352.70971033492,-55747.33795461251,15132.1276156723,7696.058785712426,-419.254150795532,-204.73227141599213,8.418966777738692,-23.13841711999984,-28.97605857007501,-0.46009779045099086,4.137727760272713,21.560823892078613,5.018564477843055,7.132313802255839,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153207,-19904.3835473347,-3326.8899592736952,-159.7531986579845,1621.3306183993593,10462.343616715989,-295.4767198677756,-51.22027230185185,-36.96047659711795,-7.379816776499088,0.8976387584916283,5.912139630962642,-9.829333387997728,-0.09614552375538905,3.0574870480632623,-1.5617285691981075,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687695,-19966.81886802438,-3333.919635185217,-142.07985766099935,1671.243665569939,10658.285895667317,-293.3106317922205,17.40438467428334,-43.29502102839885,-8.062355123665402,2.5863365112091086,6.58474569363858,-9.359132472349629,0.4008577724614817,1.9055228364482748,-2.733999335470993,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771642,20471.5384384907,14374.157935839077,280.20583106674354,39364.373070341644,-3719.2909475077586,390.6348110826353,302.81721336634234,-257.7042171395606,53.874557777589416,81.07757836025779,-19.762356607913805,-76.43050304595694,25.52020985885087,-3.7040867641757207,-17.726676294318636,1.363997599,1.102669068,1.233333333
