fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,CIHigh,CILow,MOS
50030.008054631486,-10113.997947689442,-35856.497589709295,-7070.235058568758,-668.2179192098881,2441.944983101435,12881.309331455634,-274.7289561244432,139.77415771052276,-50.99456043817583,18.22368329011068,-0.6449472814729745,13.21248449837303,-7.152106635645527,-4.622596320221075,3.343655805750821,4.010889729468677,-0.9177599147186589,0.5021269752941945,4.386049305212358,3.599130983,2.900869017,3.25
-125345.11971585723,-14842.065660352875,-550.0972767851937,1293.4060038201708,-560.8143237253958,1119.0146444204302,-3469.914771115818,505.62609282480173,-147.9919562654054,3.5927483167189775,-8.184548870402631,6.667883717398011,-3.827324218037993,3.3633932509788598,-4.182653682786526,-6.369863865197754,1.4030069353790464,-0.43980538058255086,0.004608831800146025,0.9871750575097082,3.954853907,3.366574665,3.660714286
-49001.25318178602,-48167.38971145784,12787.790589645338,4259.833315192704,673.1571690430223,-566.3248469977618,3515.6614387282843,611.4324764535154,-44.63990682886818,-46.9416218582681,9.787047675253218,6.176204643333854,-6.933410838606062,-11.012630557499746,8.03194209566229,-6.734829257558836,-3.3424083317088114,-1.153944849898564,-5.149720917147082,-0.7903692290604695,3.453428328,2.925882017,3.189655172
347922.2314522348,-32285.958984764708,-16536.086150066258,-3524.266423915792,-796.0985257861486,-4945.407346563495,2571.0582169451163,-525.2452499797653,117.82768750582615,73.2861682456691,-6.671406987145589,5.796977989186951,-3.132657311544352,-1.8873834121580562,-8.871732125134349,-0.040939269815567614,-1.2227543302088548,-5.073751537407884,0.19236307606162198,2.710356517409693,4.785550297,4.325560814,4.555555556
-177783.06979999683,11158.491260562727,-15258.612051584221,-2095.3777759845616,-1336.7929990089337,2555.110322481112,-6194.898005426997,464.26067966515524,-163.39474927724496,2.9243435852051585,-9.998929102601009,11.028159138940644,3.4192172721297465,5.095445823327202,-10.767324557000192,-4.829675337818839,3.149261698508096,-2.2724080406949367,1.8045231252562195,-0.8940790592537801,2.653067263,2.154625045,2.403846154
246964.03748858176,-52400.00887065806,-3015.7410641501056,-58.345234615925285,370.8824600001452,-3879.5232772067366,7489.697329852853,-405.9954000411519,112.79501353523398,85.64313385281132,-19.134351561355828,10.821908384930254,-11.277353566087482,-6.254652172139246,-4.959967407763624,-6.341400918709401,-3.9347672512142817,-6.637151673143852,1.089942123484878,5.3076050850712155,4.518530885,4.014802449,4.266666667
-196930.4903823889,7262.10997457551,4406.180802819034,-2973.7771147002613,-1557.880119525901,-15573.84683416842,-11654.291105016688,-703.4718964311378,-172.1755026236249,-40.779197703862856,9.782613753833711,-10.421676740831877,-4.272230505169989,-15.93626633626916,21.8840354798246,23.810170762843644,-15.30717369958149,13.54622990299909,4.19091834283608,-15.736517798616115,3.107115012,2.596588692,2.851851852
-120360.21443036065,10134.50442207426,-15464.959965841355,22522.003356326564,7584.076690910319,2545.447962683967,3576.810506088096,-394.2799169999491,16.63405879307013,22.819317148650608,-12.07692054832644,-19.452364028271273,8.178206413184702,5.849690676523752,6.169607975097169,-18.20098904964289,-9.840050941767343,-7.877683792087396,-5.516021986675954,9.129777124400682,3.531309226,3.020414912,3.275862069
26676.551301628904,71718.91671086648,4229.979698131626,-4431.085218514452,-81.87415521820503,-7518.307150782064,12531.620564011399,560.8426227726069,-2.568954665921188,151.09372183527645,-30.297581058098224,4.958243699146611,-55.40921488185614,0.449103777023669,-2.4432926584162953,-17.093476584097427,-9.668513336960208,-15.2357467949666,15.943706294806862,-3.5233429390874096,1.56564417,1.167689163,1.366666667
-109808.71505541117,44567.06006826483,-10893.211824471695,-29969.390003570006,-8989.838358062989,-2091.0220715747055,6185.938134344709,542.1687726266043,536.9082293825631,76.92982687654515,19.203580634357156,12.87435803707571,-48.38353303082939,0.20162757876951493,-1.2189779637156144,13.173750304639313,0.4631997913662876,35.68109968025792,32.882535800677374,-14.880440630136338,1.642556938,1.324109728,1.483333333
