fe-1,fe-2,fe-3,fe-4,fe-5,CIHigh,CILow,MOS
-77623.80415645483,8546.810450908124,-33746.927902970536,-6352.889327075159,-1261.9460299501648,4.24461591,3.686418572,3.965517241
-154773.63207690264,11063.61052081722,9864.415822992843,25113.80378276783,-15831.143868567608,2.303374142,1.770699932,2.037037037
10851.304938334431,-32573.861981435053,-2312.8470919898527,617.0863973908413,-58.21477679617508,4.452997027,3.975574401,4.214285714
-168440.55533593716,30823.264128235878,-30836.418217060844,9753.126734752226,3655.483619828557,3.231543121,2.732742593,2.982142857
-191340.03181441032,559.1394542221528,1805.0459619359667,1788.143238787201,-1094.5804266489981,3.46412956,2.93587044,3.2
-192550.9234679426,23579.67407920099,40949.44837221115,6588.300698340264,487.98546442802444,1.770033908,1.363299425,1.566666667
-54213.742957601244,53834.44607606717,18474.847840286628,-889.056647107777,872.7520085995112,1.387269538,1.079397128,1.233333333
103837.30728488132,-4252.593833248679,-33681.60574339149,-6814.7939609180285,-1238.5424890819804,4.592530589,4.157469411,4.375
114604.64662449253,58966.83185320447,52643.44926337176,3496.8320399765544,2004.5538497820603,1.294254321,1.050573265,1.172413793
-88873.0527672781,-30960.80513869341,27498.598653675963,-18527.6198961106,26734.772618699866,2.535804889,2.019750667,2.277777778
-190114.21770998172,696.2940500263613,1851.0884203247413,1792.7224307369681,-1108.0768412824686,3.444807906,3.003467956,3.224137931
632550.916224035,39636.76978400818,-1546.293268019043,-8841.071951271346,-59048.29020220525,4.756993215,4.311972302,4.534482759
99947.85623601124,13076.83643339579,63898.76644908721,-50461.550928666686,-16799.147829659098,1.284138137,1.015861863,1.15
-210255.5341417676,-10573.70538621542,18563.3328513691,5625.318761932626,-796.4318106764913,2.624756782,2.153020996,2.388888889
-63313.495731317074,-31773.935259830563,18946.931147272004,-7422.139190753196,-448.596755865882,2.970983131,2.251239091,2.611111111
55361.814486334275,-18609.865335227765,-18114.741054122966,-3116.6409263805403,-627.5918344024409,4.442228583,3.928141788,4.185185185
-162708.4457579385,-27985.137869967028,15460.286101805315,5042.935985794033,-66.87064208775244,2.558665314,1.941334686,2.25
-127985.57156894438,-15127.138577144926,-656.61062172254,1280.3294223992154,-532.6657443535984,3.653463529,3.070674402,3.362068966
