fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,CIHigh,CILow,MOS
-213707.64668739526,-2212.9749811147617,25044.849854822285,-3553.0286881068214,9634.634542500624,6831.152886313866,-17898.34063133008,2.576073139,2.123926861,2.35
-161757.64749986108,21975.321307285936,-32128.942917746266,-5945.490945369505,-1604.2225568119243,4071.531218226821,-1078.9381302968525,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.120322479335,11640.21733824233,4125.327942557254,974.0574356792112,303.706578137696,6896.116761211181,2.728559181,2.057155105,2.392857143
-101098.87213979196,6926.486666837627,47846.55527696765,-32033.43875251416,-11236.313187072165,-8964.161389949637,5658.71200956828,1.424230754,1.075769246,1.25
234048.40473543812,-62878.92683894196,13983.423873550593,3807.0111722437864,604.8325400245734,-5495.357314085469,1986.8032729191193,4.392735837,3.814160715,4.103448276
-209627.37297721813,-10505.760635606244,18585.64541700571,5628.0757472613495,-803.2589349860269,-490.058256884393,-16475.68355032184,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775692,-14774.153173959701,35625.04043198738,12291.008255225575,-46.987972732903074,7457.2014369545595,4.625796982,4.159917303,4.392857143
634664.483301602,8022.255790935074,-22450.53590118035,-6087.79026184508,-3929.754471729111,-11695.96424410995,-24425.38975491323,2.694792401,1.945207599,2.32
317597.8308897546,-3485.1645196996565,6551.012843513319,-37332.04498526149,37717.597820697156,22447.37314363671,-849.4283033971578,2.746840825,2.218676416,2.482758621
-110981.10054968388,32011.896479447958,-28211.923480804635,11028.350826456937,6547.449936488574,-22466.14505131798,8402.593631113705,1.513780279,1.186219721,1.35
10855.216251976,-32573.67093348371,-2311.6733309195515,617.2641883121437,-58.22127817416869,-387.53264407979634,3436.9545351922843,4.371789143,3.869590168,4.120689655
176344.48446837606,-1831.1631625830057,41623.898310472585,27684.46812169104,58461.086547879626,21728.64033368342,2952.3000312611885,1.965763382,1.498522332,1.732142857
-53392.246184110976,-18012.32084837707,11421.450224733124,-22287.368028364926,26262.639508326825,19340.51601407452,6372.142721580557,1.868626477,1.476201109,1.672413793
-190106.4398123922,695.241807783902,1854.4766887904875,1793.513480779415,-1108.1538674192789,915.4386237068361,-11788.662119719924,3.448905722,2.930404623,3.189655172
-199001.39537297364,7083.478348272479,4253.352899396671,-3001.6457299083277,-1536.141106219644,-15509.46015344336,-11386.997057472601,1.362669765,1.137330235,1.25
104026.95410753023,-45195.95266948055,29712.556585772858,445.47236054824594,-53158.88612358043,18008.006136537548,20423.06888839308,3.576319397,2.84034727,3.208333333
389190.7228423982,48615.37878434041,-2411.5975295226804,16896.8979131218,55914.66786103413,21263.711932756374,-1180.8719319161569,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.347650117309,-33942.18420779306,-6844.768339544464,-1163.1774161852018,995.1747963914223,7270.813269591331,3.002162168,2.354980689,2.678571429
-51096.592935136534,-48395.26188262557,12707.192109726995,4250.245137720407,695.5568690292702,-503.46972672798506,3765.116563450518,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.375019956045,13937.367352878218,3801.292839921038,616.297990941847,-5462.143193897891,2116.3755692907607,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.84334294225,15694.266962924426,5070.044630971284,-129.14398535936087,75.65964162082847,-6747.042246044661,3.432505962,2.867494038,3.15
-182427.4743251619,17999.632582843675,-12689.93205656731,-6868.314591549585,-1810.6077569309343,-13996.505640982665,-6308.239272201179,3.014959093,2.449326621,2.732142857
-163813.6276533671,21749.166463268495,-32209.156319098132,-5954.380185909457,-1581.8663141073316,4138.081483599761,-819.2645207428957,3.551922047,3.103250367,3.327586207
446900.3969938461,-12433.8259120722,-30047.306096160548,-6979.597634437379,-1941.6121556189062,-5961.056783816245,-2148.5770374516906,4.751477668,4.284236618,4.517857143
-162126.59825933375,-27921.84120033829,15479.956809281137,5045.304908306492,-73.20762136681398,240.60131909974504,-6109.3536508576335,3.380332715,2.964494871,3.172413793
-26717.79814592108,-36667.71102989083,-3831.7859878522727,438.9988270136105,340.0749133588258,763.3845797237137,7908.284908054407,4.373132173,3.780713981,4.076923077
-133309.22184593455,-391.21379098535505,1612.383581124524,26405.457462715618,7818.673712393031,922.0083414471532,-1956.0858293166991,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.154994221586,33152.34357549849,-9109.307895661572,-5791.288493951849,-4210.665215129082,-16215.87840034525,1.659640274,1.271394209,1.465517241
-112286.88048184244,-10143.051270092557,28099.825686459695,40923.78622585427,-22708.151623864364,13738.455208473963,13930.237848378149,1.786571514,1.313428486,1.55
