fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
-156359.61151131234,-27291.713320727707,15718.15808664067,5072.757504565809,-134.5292229083335,58.9796670394944,-6808.125064964012,456.55354382538957,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100588,15730.910987404252,5074.575049129379,-138.7514608945347,48.35510017481734,-6854.922636002879,460.7731197264892,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.551724472345,20111.226174822532,-697.5644623939783,443.3653528792346,-8291.01219942274,10305.111796286586,537.8525021872077,1.467294188,1.153395467,1.310344828
-111511.39139821591,-4217.331928559444,-17600.554249793175,-2587.409710164192,-804.9756272806227,2716.950172121413,1959.5593662445954,-408.7576507804615,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211206,65310.31231060648,6853.4634065511045,3371.6306180590395,-13688.685519196675,25364.605778042678,-257.5472807673995,1.442300703,1.057699297,1.25
-213707.64668739523,-2212.9749811147626,25044.84985482235,-3553.0286881068687,9634.634542500653,6831.152886313898,-17898.3406313305,303.194667520018,2.576073139,2.123926861,2.35
-161757.64749986108,21975.32130728596,-32128.94291774635,-5945.490945369576,-1604.2225568119302,4071.5312182268412,-1078.9381302968754,543.9212534404867,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247937,11640.217338242357,4125.327942557302,974.0574356792152,303.70657813770003,6896.1167612113395,-321.69489426640433,2.728559181,2.057155105,2.392857143
-101098.87213979197,6926.48666683763,47846.55527696777,-32033.438752514532,-11236.3131870722,-8964.161389949686,5658.712009568412,504.5003645788936,1.424230754,1.075769246,1.25
234048.40473543818,-62878.926838942,13983.42387355063,3807.0111722438305,604.8325400245764,-5495.357314085496,1986.8032729191632,506.8149261534802,4.392735837,3.814160715,4.103448276
-209627.37297721815,-10505.760635606253,18585.645417005766,5628.075747261417,-803.2589349860251,-490.05825688439893,-16475.68355032222,-690.6710429251983,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775692044,-14774.153173959734,35625.0404319878,12291.008255225614,-46.98797273289863,7457.2014369547305,628.9251308672733,4.625796982,4.159917303,4.392857143
634664.4833016021,8022.255790935076,-22450.535901180414,-6087.790261845149,-3929.7544717291253,-11695.964244110019,-24425.389754913795,-82.4509096200374,2.694792401,1.945207599,2.32
317597.83088975464,-3485.1645196996606,6551.0128435133365,-37332.04498526194,37717.59782069726,22447.373143636833,-849.4283033971782,-489.0631204352497,2.746840825,2.218676416,2.482758621
-110981.10054968385,32011.896479447983,-28211.923480804708,11028.35082645707,6547.449936488595,-22466.14505131809,8402.5936311139,-469.487598998273,1.513780279,1.186219721,1.35
10855.216251976,-32573.670933483732,-2311.6733309195565,617.2641883121507,-58.22127817416966,-387.53264407979765,3436.954535192364,586.9416353972935,4.371789143,3.869590168,4.120689655
176344.484468376,-1831.1631625830173,41623.89831047269,27684.468121691345,58461.0865478798,21728.64033368355,2952.30003126125,605.6545502531413,1.965763382,1.498522332,1.732142857
-53392.24618411097,-18012.320848377087,11421.450224733153,-22287.368028365196,26262.639508326894,19340.516014074627,6372.142721580705,-313.12896303525713,1.868626477,1.476201109,1.672413793
-190106.4398123921,695.2418077839035,1854.476688790493,1793.513480779436,-1108.153867419279,915.4386237068375,-11788.662119720197,377.9786295687883,3.448905722,2.930404623,3.189655172
-199001.3953729736,7083.478348272483,4253.352899396684,-3001.6457299083613,-1536.1411062196462,-15509.460153443444,-11386.997057472867,282.0064380976474,1.362669765,1.137330235,1.25
104026.95410753023,-45195.9526694806,29712.55658577293,445.4723605482625,-53158.886123580574,18008.006136537635,20423.06888839356,-126.26330279980589,3.576319397,2.84034727,3.208333333
389190.72284239816,48615.378784340435,-2411.597529522686,16896.89791312199,55914.6678610343,21263.711932756498,-1180.8719319161892,-540.5816911032101,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.347650117309,-33942.18420779315,-6844.768339544545,-1163.1774161852086,995.1747963914287,7270.813269591501,612.1652701278549,3.002162168,2.354980689,2.678571429
-51096.59293513654,-48395.261882625615,12707.192109727026,4250.245137720456,695.556869029272,-503.4697267279858,3765.116563450603,611.5220656847393,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.3750199561,13937.367352878253,3801.2928399210823,616.2979909418483,-5462.1431938979185,2116.375569290808,508.78713079163333,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.843342942277,15694.266962924466,5070.044630971344,-129.14398535935948,75.65964162082747,-6747.042246044818,461.2032572441804,3.432505962,2.867494038,3.15
-182427.4743251619,17999.632582843682,-12689.93205656734,-6868.314591549663,-1810.6077569309396,-13996.50564098274,-6308.239272201325,379.3909253120763,3.014959093,2.449326621,2.732142857
-163813.62765336706,21749.16646326852,-32209.156319098216,-5954.3801859095265,-1581.8663141073384,4138.081483599782,-819.2645207429123,-450.8896051609541,3.551922047,3.103250367,3.327586207
446900.3969938462,-12433.825912072212,-30047.306096160628,-6979.59763443746,-1941.6121556189157,-5961.056783816277,-2148.57703745174,-640.461052531356,4.751477668,4.284236618,4.517857143
-162126.59825933375,-27921.84120033831,15479.956809281179,5045.304908306552,-73.20762136681145,240.60131909974552,-6109.353650857775,-522.7156068797865,3.380332715,2.964494871,3.172413793
-26717.798145921075,-36667.71102989086,-3831.7859878522822,438.9988270136155,340.0749133588265,763.3845797237196,7908.28490805459,-324.39646950188774,4.373132173,3.780713981,4.076923077
-133309.22184593457,-391.21379098535675,1612.3835811245306,26405.457462715924,7818.673712393058,922.0083414471605,-1956.0858293167464,521.6705930256843,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.1549942216,33152.34357549857,-9109.30789566168,-5791.288493951864,-4210.665215129108,-16215.878400345626,238.85161407709634,1.659640274,1.271394209,1.465517241
