fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,CIHigh,CILow,MOS
-125345.11971585719,-14842.065660352831,-550.0972767851932,1293.406003820167,-560.8143237253915,1119.0146444204347,-3469.914771115762,505.6260928194449,-147.9919562664274,3.5927483185383586,-8.184548880563039,6.667883699127861,-3.8273242088892743,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457705,12787.79058964532,4259.83331519269,673.157169043017,-566.3248469977633,3515.6614387282243,611.4324764470354,-44.639906829177306,-46.94162188203737,9.787047687402453,6.176204626411067,-6.933410822033041,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764613,-16536.08615006624,-3524.266423915782,-796.0985257861437,-4945.407346563516,2571.0582169450745,-525.2452499742006,117.82768750663982,73.28616828277893,-6.671406995427391,5.79697797330297,-3.132657304055854,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562694,-15258.612051584201,-2095.3777759845557,-1336.7929990089242,2555.1103224811213,-6194.898005426893,464.2606796602384,-163.39474927837276,2.924343586685458,-9.998929115013608,11.028159108722926,3.4192172639566762,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.008870657904,-3015.7410641501006,-58.34523461592592,370.88246000014135,-3879.5232772067516,7489.697329852729,-405.9954000368512,112.79501353601268,85.64313389617861,-19.13435158510928,10.821908355277865,-11.277353539130033,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575489,4406.180802819028,-2973.777114700254,-1557.8801195258857,-15573.846834168486,-11654.291105016504,-703.4718964236869,-172.17550262481316,-40.7791977245121,9.782613765977842,-10.421676712276339,-4.272230494957706,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207423,-15464.959965841337,22522.0033563265,7584.076690910263,2545.4479626839775,3576.810506088037,-394.2799169957715,16.6340587931853,22.819317160205287,-12.076920563318552,-19.45236397497105,8.178206393635927,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086628,4229.979698131621,-4431.085218514437,-81.87415521820446,-7518.307150782096,12531.620564011195,560.842622766669,-2.568954665938532,151.09372191178448,-30.29758109570919,4.958243685560468,-55.40921474940549,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826468,-10893.21182447168,-29969.390003569915,-8989.838358062923,-2091.0220715747164,6185.938134344615,542.168772620865,536.90822938627,76.92982691550058,19.20358065819684,12.874358001799548,-48.383532915173355,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.5778586493,9678.065296166184,3301.2615358673265,1731.4262025125106,-2244.7970753184204,14615.808687431036,-244.56715351971368,155.1432929630425,99.38114304979123,-11.832497349906715,17.67496045625488,-18.84419909237959,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850196,-33760.37683867955,-6354.432048003877,-1257.3884957062976,3695.5943222295127,4991.557092448429,624.4744194065446,-16.428704108904768,5.118838386668012,-20.28579089557203,-8.672722198075773,8.689324017836295,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918205,2743.703403529464,617.6026820572131,-1137.4002894425494,-8230.064661035813,-9411.703603528513,260.16611745414133,129.5778006314645,50.38787815878965,11.283432646045412,1.7831588517420516,-8.229959266706322,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133099,-6916.163849700197,-40782.241724609,36560.34741932741,21398.04846717249,-5700.180107221157,-606.5724114777785,-136.2146130489854,43.043753000607275,13.201917307317858,-3.3764154225244796,-3.7349557045874113,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069492,18626.08882136647,5632.565155430375,-814.0445660093307,-524.1586296290536,-16607.51964649742,305.51084868776564,-240.42475407707204,-7.818744422590891,-9.840421443965106,12.025059063892138,-6.193976364814618,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118448,-3015.3419901188436,-58.39018601238684,370.92783994985825,-3879.7161249564588,7490.172924951656,-407.1442614339952,158.70030978008262,81.57322262235058,-17.729628019493042,7.782365289678639,-10.773471884795818,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653924,-33710.428969577195,-6817.721536319838,-1229.5585895470597,821.3302906853309,6582.007430683495,603.7399894061881,12.769232326835008,-51.5118675853482,9.856188639126417,-8.825302521802579,12.207246222523034,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528622,1497.0751847929482,-18507.148546626213,-7891.283239724322,23158.03715155339,2067.5690766957823,-362.58430559142596,-287.5522119984547,58.06556913970834,18.715083688964537,-13.325620124587308,-8.601402257089823,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792367,1843.7495985844025,1792.1233377805167,-1105.1113494021386,923.7206345796891,-11754.647097311165,376.94841356064876,-162.771292034824,-6.987017055236555,-9.247605919800108,6.751634204750122,-2.78644609471352,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.850800715411,-12023.367783600728,-14807.112479390973,-1732.4989812932527,-40039.97942464509,5534.497320894516,408.5692773851208,-286.2650253028545,-62.29483913461252,-18.792488739154628,-27.428693152688993,-1.711148975671109,3.09915415,2.442512516,2.770833333
