fe-1,fe-2,CIHigh,CILow,MOS
-162126.59825933375,-27921.841200338262,3.380332715,2.964494871,3.172413793
-26717.798145921075,-36667.711029890794,4.373132173,3.780713981,4.076923077
-133309.22184593457,-391.2137909853571,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.154994221573,1.659640274,1.271394209,1.465517241
-112286.88048184244,-10143.051270092552,1.786571514,1.313428486,1.55
-132848.52508760942,-15660.23490578682,3.846189416,3.296667727,3.571428571
36943.09035456156,3017.010044150296,2.646890722,2.056812981,2.351851852
-210408.3876641982,-10589.186562058345,3.051922047,2.603250367,2.827586207
-125529.47621402457,-14861.666654886018,3.772468808,3.193048433,3.482758621
-161907.1768225563,21920.515098349628,3.460340236,2.987935627,3.224137931
-154254.64509202214,25077.72318146682,1.765816215,1.400850451,1.583333333
-111800.11377080971,-4246.227563053477,3.91045444,3.503338664,3.706896552
292511.23376993765,96535.42824215404,1.471686809,0.994979857,1.233333333
-226955.4181620551,13200.058313845926,1.945329132,1.488004202,1.716666667
127653.8428387956,-74467.57207966759,4.095679394,3.504320606,3.8
-141838.94618100807,-2659.5492558907627,2.637035504,2.190550702,2.413793103
-131948.61699090266,36620.90727116522,1.74043084,1.328534677,1.534482759
-191644.6179848328,527.3264533813392,3.094947531,2.491259366,2.793103448
-199394.1183856862,8425.60306234611,1.621677784,1.278322216,1.45
7075.7987158951,-32986.1221086901,4.23399043,3.535240339,3.884615385
11221.217982546108,-23418.306746472594,4.549695967,4.021732605,4.285714286
507285.5071790907,-14926.957384405856,3.044920759,2.339694626,2.692307692
185503.7219477989,66690.73377635091,1.26447695,1.068856384,1.166666667
-133024.93531949088,-15677.979266957465,3.454788469,2.978544864,3.216666667
-140977.37820977546,32090.968421829693,1.552327478,1.206293212,1.379310345
194960.65869782012,76837.8276168323,1.543937516,1.222729151,1.383333333
-163367.9424092969,21797.33218809698,3.369995498,2.880004502,3.125
305227.31577851693,30128.48071194733,3.764962853,3.028140595,3.396551724
-102390.9158285827,-3222.174964443178,3.909399125,3.469911219,3.689655172
35595.50249867749,11943.183511004052,2.405101776,1.828231558,2.116666667
-111409.41792087004,7566.273027123508,3.388944946,2.921399882,3.155172414
-14347.637429978906,13297.01285794459,3.907056989,3.437770597,3.672413793
-177014.21774425707,11238.411006793827,3.373239619,2.937105209,3.155172414
209985.06856173143,-33395.452128939665,3.210241176,2.419388454,2.814814815
-208652.22729858168,-10399.32402376158,3.228121605,2.771878395,3.0
-76506.38212192181,-51165.01145266412,3.849214939,3.150785061,3.5
-92459.2260630112,-34947.04835289193,2.728516741,2.054091954,2.391304348
-88033.83864729259,7413.1865022852935,4.041123384,3.392209949,3.716666667
-181960.25102534858,-4327.707405874866,1.91045444,1.503338664,1.706896552
-87866.50211970834,21410.747657304022,3.165961789,2.619752497,2.892857143
517257.1429616264,-13840.122740010082,4.659037443,4.269533986,4.464285714
477412.6598567942,17033.314928323958,2.686788331,2.05395241,2.37037037
-77623.80415645482,8546.810450908111,4.24461591,3.686418572,3.965517241
-154773.63207690264,11063.610520817198,2.303374142,1.770699932,2.037037037
10851.304938334428,-32573.86198143502,4.452997027,3.975574401,4.214285714
-168440.55533593716,30823.26412823585,3.231543121,2.732742593,2.982142857
-191340.03181441032,559.1394542221527,3.46412956,2.93587044,3.2
-192550.9234679426,23579.674079200955,1.770033908,1.363299425,1.566666667
-54213.74295760126,53834.4460760671,1.387269538,1.079397128,1.233333333
103837.30728488129,-4252.59383324867,4.592530589,4.157469411,4.375
114604.64662449254,58966.831853204385,1.294254321,1.050573265,1.172413793
-88873.0527672781,-30960.805138693373,2.535804889,2.019750667,2.277777778
-190114.21770998166,696.2940500263618,3.444807906,3.003467956,3.224137931
632550.916224035,39636.769784008124,4.756993215,4.311972302,4.534482759
99947.85623601124,13076.836433395763,1.284138137,1.015861863,1.15
-210255.53414176765,-10573.705386215408,2.624756782,2.153020996,2.388888889
-63313.49573131709,-31773.93525983052,2.970983131,2.251239091,2.611111111
55361.814486334275,-18609.865335227743,4.442228583,3.928141788,4.185185185
-162708.4457579385,-27985.137869966988,2.558665314,1.941334686,2.25
-127985.57156894439,-15127.138577144908,3.653463529,3.070674402,3.362068966
