fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
50030.00805463147,-10113.997947689431,-35856.4975897094,-7070.2350585687445,-668.2179192098816,2441.944983101438,12881.3093314554,-274.7289561201911,139.77415770932132,-50.99456043706129,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.06566035285,-550.0972767851961,1293.4060038201678,-560.8143237254003,1119.0146444204331,-3469.9147711157552,505.6260928169788,-147.99195626413336,3.592748316640323,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457756,12787.790589645374,4259.833315192696,673.1571690430156,-566.3248469977609,3515.66143872822,611.4324764440541,-44.63990682848454,-46.94162185724488,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764657,-16536.08615006631,-3524.2664239157853,-796.0985257861491,-4945.4073465635065,2571.0582169450704,-525.2452499716389,117.82768750481343,73.28616824406957,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562703,-15258.612051584267,-2095.377775984559,-1336.7929990089353,2555.1103224811154,-6194.898005426885,464.2606796579733,-163.3947492758405,2.9243435851417448,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065796,-3015.7410641501156,-58.345234615924106,370.8824600001437,-3879.523277206744,7489.697329852717,-405.99540003487084,112.79501353426451,85.64313385094178,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575496,4406.180802819047,-2973.7771147002563,-1557.8801195259034,-15573.846834168455,-11654.291105016477,-703.4718964202546,-172.1755026221449,-40.77919770297303,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207424,-15464.959965841404,22522.00335632652,7584.076690910344,2545.447962683972,3576.8105060880325,-394.27991699384853,16.634058792927085,22.819317148152972,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086637,4229.979698131641,-4431.085218514442,-81.87415521819541,-7518.307150782083,12531.620564011171,560.8426227639318,-2.5689546658988966,151.09372183197874,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.060068264735,-10893.211824471726,-29969.390003569948,-8989.838358063,-2091.022071574714,6185.938134344597,542.1687726182183,536.9082293779484,76.92982687486793,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864938,9678.065296166224,3301.261535867333,1731.4262025125229,-2244.797075318414,14615.808687431008,-244.56715351852057,155.14329296063823,99.38114299729756,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850196,-33760.376838679695,-6354.432048003884,-1257.3884957063003,3695.5943222295036,4991.557092448415,624.4744194034971,-16.428704108650503,5.118838383966116,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918209,2743.703403529474,617.6026820572142,-1137.4002894425676,-8230.064661035794,-9411.70360352849,260.16611745287395,129.57780062945747,50.38787813217192,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.851371331006,-6916.163849700226,-40782.24172460901,36560.34741932785,21398.048467172444,-5700.180107221148,-606.5724114748192,-136.2146130468744,43.04375297787158,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069503,18626.08882136655,5632.5651554303795,-814.0445660093517,-524.1586296290503,-16607.51964649739,305.51084868627674,-240.42475407334499,-7.818744418462734,3.109396031,2.640603969,2.875
246964.02876949642,-52399.617251184536,-3015.341990118858,-58.39018601238466,370.92783994986087,-3879.716124956451,7490.172924951644,-407.1442614320092,158.70030977762306,81.57322257926334,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653932,-33710.42896957734,-6817.721536319846,-1229.558589547062,821.3302906853271,6582.007430683481,603.7399894032424,12.76923232663698,-51.511867558138775,3.658971212,3.055314503,3.357142857
