fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,CIHigh,CILow,MOS
127680.37018159017,-74465.5778586494,9678.065296166218,3301.2615358673193,1731.4262025125263,-2244.7970753183968,14615.808687430941,-244.56715352073454,155.1432929607594,99.3811430397689,-11.83249735534444,17.674960570765187,-18.844199074483367,-10.442648574252559,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850208,-33760.37683867967,-6354.432048003859,-1257.3884957063042,3695.5943222294654,4991.55709244839,624.4744194091506,-16.428704108663307,5.1188383861538505,-20.285790904894824,-8.67272225426306,8.689324009583803,9.846803079592382,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.7696991821,2743.703403529472,617.6026820572112,-1137.4002894425637,-8230.064661035702,-9411.703603528447,260.1661174552313,129.57780062955794,50.38787815370536,11.283432651231195,1.783158863293981,-8.229959258890057,2.8307868579316966,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133101,-6916.163849700223,-40782.24172460886,36560.34741932783,21398.04846717219,-5700.18010722112,-606.572411480312,-136.2146130469804,43.043752996266655,13.201917313384877,-3.376415444399201,-3.7349557010402954,5.7076553611279675,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069507,18626.088821366542,5632.565155430358,-814.0445660093476,-524.1586296290463,-16607.51964649731,305.51084868904366,-240.4247540735331,-7.818744421804277,-9.840421448487085,12.025059141798208,-6.1939763589320584,6.581828413660606,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118454,-3015.3419901188563,-58.39018601238549,370.9278399498619,-3879.71612495641,7490.172924951608,-407.14426143569557,158.7003097777471,81.57322261412433,-17.729628027640857,7.782365340098099,-10.77347187456434,-5.429403285486063,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653931,-33710.428969577326,-6817.72153631982,-1229.5585895470663,821.3302906853218,6582.007430683448,603.7399894087089,12.769232326646774,-51.511867580152746,9.856188643655823,-8.825302578978725,12.207246210929812,-0.2059068991505424,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552865,1497.0751847929591,-18507.14854662616,-7891.283239724404,23158.03715155308,2067.569076695755,-362.5843055929459,-287.5522119942231,58.065569133857785,18.715083697564577,-13.325620210919022,-8.601402248921193,-3.197722433299148,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792383,1843.7495985844084,1792.1233377805108,-1105.111349402153,923.7206345796791,-11754.647097311086,376.9484135622238,-162.77129203242825,-6.987017054532575,-9.247605924049834,6.751634248491645,-2.7864460920672207,8.480478731704139,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.850800715414,-12023.36778360078,-14807.112479390931,-1732.4989812932656,-40039.97942464455,5534.497320894489,408.5692773868291,-286.2650252986411,-62.29483912833246,-18.792488747790507,-27.4286933303911,-1.7111489740455816,2.4330048506503346,3.09915415,2.442512516,2.770833333
