fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,CIHigh,CILow,MOS
127680.37018159019,-74465.57785864928,9678.065296166167,3301.261535867331,1731.4262025125345,-2244.7970753184195,14615.808687430657,-244.56715352151676,155.1432929580741,99.38114300740806,-11.83249735792819,17.67496054692541,-18.844199196190473,-10.442648650847438,-1.5867681305585288,-12.663394504669775,-4.803686303094395,-9.32407101744073,1.2293069668809715,5.918807235951588,3.893627691263775,6.714100714225232,6.401626401911607,-0.6383920993652491,-3.561538928585232,-3.460847889330677,2.7981942349782365,4.257197985,3.639353739,3.948275862
-78041.96969912766,8500.943727850188,-33760.376838679505,-6354.432048003884,-1257.3884957063062,3695.59432222951,4991.557092448295,624.4744194111448,-16.428704108379026,5.118838384485493,-20.28579090932469,-8.67272224256656,8.689324065704652,9.846803151816511,-11.432395424842472,-5.714401066593845,9.814085185132939,1.500367342176113,2.6791185273024682,4.919735983482287,3.8314925340132673,9.21267276162522,4.9364883998577795,-4.066871484362624,-6.977793902074426,4.80678106614992,-0.8179748876233082,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.769699182034,2743.703403529455,617.6026820572134,-1137.400289442567,-8230.064661035798,-9411.703603528262,260.16611745605826,129.57780062731538,50.38787813729941,11.283432653695389,1.78315886089132,-8.22995931204411,2.830786878694897,-4.612609392853147,-4.315443705427454,0.6213579233367822,-2.8228708161773852,-4.63307505556792,-3.077061118936956,-2.431532379593608,1.265596054735158,-3.555001611138457,4.481780007200959,-0.5284629477416473,-1.8563783339399074,0.6507091812157271,4.766305092,4.305123479,4.535714286
417683.28306202847,16487.851371330988,-6916.163849700188,-40782.24172460902,36560.34741932794,21398.04846717245,-5700.180107221014,-606.5724114822473,-136.21461304462267,43.0437529822488,13.201917316267997,-3.3764154398458817,-3.7349557251626955,5.707655402993075,-4.9796193079845334,6.428610846141821,-11.408643758335433,15.661048890587299,-12.126556600170082,-5.065418286095638,13.12529899459168,6.2366048054764835,-8.946816528917704,10.954957192647203,-6.157576208817821,-1.4143355233714845,-4.822063019536972,3.0643401,2.528252492,2.796296296
-208656.10983661853,-10399.087565069489,18626.08882136645,5632.56515543038,-814.0445660093507,-524.1586296290527,-16607.519646496992,305.5108486900165,-240.42475406937197,-7.818744419256871,-9.840421450635654,12.025059125579705,-6.193976398936489,6.581828461936907,-4.925534846001953,-7.39349583134657,-0.4773295074218551,0.013568981101349393,-1.8263028876626057,-1.7667518701134481,-1.8166823865828774,7.054496845236901,1.3901250373331218,-0.6835913008108716,-0.12457583927685364,0.7149642870328,-1.2770041713424405,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118446,-3015.3419901188427,-58.39018601238641,370.927839949865,-3879.7161249564538,7490.172924951464,-407.14426143699546,158.7003097750003,81.57322258756177,-17.72962803151234,7.782365329601373,-10.773471944145872,-5.429403325309735,-5.346116469101032,-6.8534595647051715,-2.4056319031776674,-6.4176905793198875,1.0300119920860384,5.5666725808729565,2.988557499310326,3.305358883000413,3.826069935670997,-0.24188629975789697,-1.9583102342913683,-1.336023561461647,2.4035722793140244,4.586922149,4.190855629,4.388888889
102995.0970990122,-4346.5997856539225,-33710.42896957715,-6817.7215363198475,-1229.5585895470679,821.3302906853316,6582.007430683321,603.7399894106368,12.769232326425852,-51.511867563379624,9.856188645807906,-8.825302567075774,12.207246289771506,-0.20590690066079775,-2.6650773590650365,2.7802922851252867,5.550647566290817,3.3635339742610304,-1.9882013775199825,1.0274999908501221,-3.0274396931358774,-1.8191891147263672,-3.9498435326949566,1.5754367565594354,-2.4060732395178355,-0.5195065891925656,-1.2804745208167378,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528615,1497.0751847929494,-18507.14854662623,-7891.283239724426,23158.037151553355,2067.569076695713,-362.58430559409277,-287.55221198924727,58.06556911494564,18.715083701649842,-13.325620192950092,-8.601402304473952,-3.1977224567542906,13.096922860419797,23.811514392656935,13.07319217242204,1.6531879334769022,6.809505579946453,4.89019265238713,-36.67326158956958,-9.974926385411198,-9.670578759373871,15.690150665018313,2.6706940642189467,-12.001883604512175,3.7246620007036215,3.665622055,3.092998635,3.379310345
-190387.45954142028,665.1960614792355,1843.7495985843998,1792.1233377805183,-1105.1113494021567,923.7206345796886,-11754.647097310859,376.94841356342556,-162.77129202961112,-6.987017052256897,-9.24760592606908,6.751634239385195,-2.786446110063759,8.48047879390664,-11.374730047987262,-6.354924800350721,2.6378731320377975,1.9301323913026331,-0.2074153546998801,-2.880268379092647,0.4009235426645209,9.643659860880694,1.2529514055953757,0.2644717779606419,-2.0307530638755575,1.7812280906875952,-1.0866054765732507,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154105,-12023.367783600715,-14807.11247939099,-1732.4989812932674,-40039.979424645026,5534.49732089439,408.56927738813414,-286.2650252936865,-62.294839108047206,-18.79248875189397,-27.42869329339368,-1.711148985097119,2.4330048684960683,16.476605616811575,10.584550129004798,3.9967143786501063,5.297877858968398,-0.5152305455530223,-1.4716305328471078,-11.02768530830151,-7.105107328288275,-18.314436579251787,5.145023342653363,7.158790950090991,2.882732145558378,-2.9582725841577164,3.09915415,2.442512516,2.770833333
