fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,CIHigh,CILow,MOS
417683.28306202835,16487.851371331042,-6916.1638497001795,-40782.24172460911,36560.34741932802,21398.04846717266,-5700.180107221108,-606.5724114763331,-136.21461304312692,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069525,18626.08882136643,5632.565155430395,-814.0445660093542,-524.1586296290578,-16607.519646497272,305.5108486870399,-240.4247540667312,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118464,-3015.3419901188395,-58.39018601238405,370.9278399498647,-3879.7161249564906,7490.17292495159,-407.144261433025,158.70030977325746,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653941,-33710.428969577115,-6817.721536319865,-1229.5585895470667,821.3302906853385,6582.007430683435,603.7399894047485,12.769232326285474,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552869,1497.0751847929453,-18507.148546626286,-7891.283239724438,23158.03715155358,2067.569076695751,-362.58430559056796,-287.552211986089,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792386,1843.7495985843987,1792.1233377805215,-1105.1113494021588,923.720634579698,-11754.64709731106,376.9484135597513,-162.7712920278233,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154205,-12023.367783600701,-14807.112479391028,-1732.4989812932627,-40039.97942464542,5534.497320894479,408.5692773841495,-286.2650252905423,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963078,-12842.859811632154,-6888.57599244867,-1768.0394627314433,-13880.584254547432,-5831.029140737033,365.37231781988095,804.2978436134438,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035442,18617.65368208653,5631.350897984983,-811.4602819867073,-517.5143993569702,-16578.644108299723,303.2331228810357,-126.75817804539469,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.50973306682,29185.67639247771,14663.1046799919,2252.0243166514633,31809.27753513221,9714.003747102422,747.8210618193525,308.437131308196,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664181,9567.332444192376,-1471.2005487710499,-36337.38242754197,14297.313313970793,11842.383212632385,-246.01546254856035,-131.62018843755092,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060793,-25415.291051914523,-7637.818170149627,-24937.63968180465,12734.038978059425,8601.381425464819,-303.9252005540991,-71.65183882433311,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972011,-28242.299657275173,4981.9120672242325,3171.1217401205704,-12579.30357730904,-147.06855135473467,472.1039903019795,-259.5132596530124,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421785,-3830.566155434152,438.72540407945155,338.6251101858374,759.8184224999343,7893.891358902228,-324.4246300013519,-25.10801632807654,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753842,-15292.766710479193,-2099.096699344621,-1327.040045268879,2585.581610963566,-6075.2600977469465,-533.9472399859584,-119.90762391619282,3.348464581,2.85843197,3.103448276
