fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,CIHigh,CILow,MOS
-125345.11971585719,-14842.065660352862,-550.0972767851955,1293.4060038201765,-560.8143237253972,1119.0146444204347,-3469.9147711157325,505.62609281770074,-147.99195625910832,3.5927483159356233,-8.184548868473366,6.667883715731704,-3.8273242169973907,3.3633932500118267,-4.182653681546777,-6.36986386324457,1.4030069349264749,-0.4398053804274132,0.004608831795786637,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145781,12787.79058964536,4259.833315192722,673.1571690430163,-566.3248469977627,3515.6614387281957,611.4324764449294,-44.639906826969174,-46.9416218480373,9.787047672946443,6.17620464179044,-6.933410836721066,-11.012630554333706,8.031942093280213,-6.734829255494474,-3.3424083306320775,-1.153944849493517,-5.149720915302924,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.95898476468,-16536.08615006629,-3524.2664239158084,-796.0985257861477,-4945.4073465635165,2571.0582169450527,-525.2452499723887,117.82768750081273,73.28616822969488,-6.671406985573075,5.796977987738159,-3.1326573106925055,-1.8873834116154486,-8.871732122504467,-0.04093926980401106,-1.2227543298149666,-5.073751535698771,0.19236307598644187,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562714,-15258.612051584247,-2095.3777759845716,-1336.7929990089315,2555.1103224811204,-6194.898005426842,464.26067965863473,-163.3947492702923,2.9243435845679633,-9.998929100244203,11.028159136184462,3.4192172712001123,5.095445821862277,-10.767324553808495,-4.829675336338785,3.1492616974922423,-2.2724080399311455,1.8045231246123208,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065801,-3015.7410641501115,-58.34523461592589,370.8824600001428,-3879.523277206752,7489.6973298526655,-405.9954000354498,112.7950135304346,85.64313383414344,-19.134351556845566,10.821908382225732,-11.277353563021144,-6.2546521703411075,-4.959967406293258,-6.341400916765759,-3.9347672499461517,-6.6371516709005025,1.0899421230819681,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575503,4406.180802819041,-2973.7771147002754,-1557.8801195259007,-15573.846834168487,-11654.291105016397,-703.471896421259,-172.17550261629802,-40.779197694974236,9.78261375152777,-10.421676738227482,-4.272230504008353,-15.936266331687252,21.884035473337793,23.810170755544366,-15.30717369464503,13.54622989839014,4.190918341375675,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207425,-15464.959965841383,22522.003356326662,7584.07669091032,2545.4479626839775,3576.8105060880066,-394.2799169944118,16.634058792362623,22.819317143676926,-12.07692054547977,-19.452364023409977,8.178206410961147,5.849690674841976,6.169607973269783,-18.200989044060965,-9.840050938594526,-7.877683789440719,-5.516021984720967,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086643,4229.979698131636,-4431.085218514471,-81.87415521819912,-7518.307150782095,12531.620564011087,560.8426227647303,-2.568954665811821,151.09372180234223,-30.29758105095665,4.958243697906961,-55.40921486679018,0.4491037768948967,-2.4432926576929557,-17.093476578860546,-9.668513333845745,-15.235746789839473,15.943706289106517,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826478,-10893.211824471713,-29969.390003570137,-8989.83835806298,-2091.022071574715,6185.938134344558,542.16877261899,536.908229359716,76.92982685977883,19.203580629830093,12.874358033858888,-48.38353301767383,0.2016275787114417,-1.218977963351612,13.173750300607795,0.4631997912207439,35.681099668216305,32.88253578894165,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864946,9678.06529616621,3301.2615358673524,1731.4262025125192,-2244.7970753184186,14615.80868743091,-244.5671535188684,155.14329295537016,99.38114297780464,-11.83249733242862,17.674960500267662,-18.844199132301,-10.442648609882792,-1.5867681238525513,-12.663394446709368,-4.803686278527679,-9.324070965125234,1.2293069590890915,4.257197985,3.639353739,3.948275862
